id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
550776,Create generic repos I-builds and milestones to point to 4.14 repos,VERIFIED FIXED,None,Platform,Releng,4.13,P3 normal,4.14 M1,Vikas Chandra,,,,,,,2019-09-05 01:37 EDT by Vikas Chandra,2019-09-18 06:42 EDT,1 user
550777,Version bumps for 4.14 stream,RESOLVED FIXED,None,Platform,Releng,4.13,P3 normal,4.14 M1,Platform-Releng-Inbox,,,,,,550761,2019-09-05 01:38 EDT by Vikas Chandra,2019-09-17 03:21 EDT,10 users
550778,Create R4_13_maintenance branch from 4.13RC2,RESOLVED FIXED,None,Platform,Releng,4.13,P3 normal,4.13,Sarika Sinha,,,,,,,2019-09-05 01:48 EDT by Sarika Sinha,2019-09-16 10:16 EDT,0 users
550779,Open type dialog should automatically prefix a search string with *,NEW,None,Platform,IDE,4.13,P3 major,---,Platform-UI-Inbox,,,,,,,2019-09-05 02:04 EDT by Ihor Lavryniuk,2019-09-05 08:02 EDT,3 users
550780,Render EMF forms using angular,NEW,None,ECP,EMF Forms,unspecified,P3 critical,---,Eugen Neufeld,,,,,,,2019-09-05 02:10 EDT by Nithyapriya K,2019-09-10 03:24 EDT,1 user
550781,Minor - org.eclipse.osgi.internal.framework.FilterImpl#compare_Version trims twice,RESOLVED WONTFIX,None,Equinox,Framework,unspecified,P3 normal,---,equinox.framework-inbox,,,,,,,2019-09-05 02:29 EDT by Lars Vogel,2019-09-11 12:07 EDT,3 users
550782,Move I-builds to R4_13_maintenance branch,NEW,None,Platform,Releng,4.13,P3 normal,---,Platform-Releng-Inbox,,,,,,,2019-09-05 02:33 EDT by Sarika Sinha,2019-09-05 02:33 EDT,0 users
550783,Replace deprecated LogService usage inorg.eclipse.e4.ui.internal.workbench.Activator,NEW,None,Platform,UI,4.13,P3 normal,---,Platform-UI-Inbox,,,,"bugday, helpwanted",,,2019-09-05 02:47 EDT by Lars Vogel,2019-09-05 02:48 EDT,2 users
550784,Use shorter text in Workspace was written in a newer/older version,RESOLVED FIXED,None,Platform,UI,4.13,P3 normal,4.14 M1,Lars Vogel,,,,,,551494,2019-09-05 03:18 EDT by Lars Vogel,2019-09-26 03:19 EDT,3 users
550785,Cannot cancel closing projects during checkout,RESOLVED FIXED,None,EGit,UI,5.5,P3 normal,5.6,Project Inbox,,,,,,,2019-09-05 03:41 EDT by Michael Keppler,2019-09-17 09:30 EDT,1 user
550786,Files in output directories cannot be deleted during SVN update,NEW,None,JDT,Core,4.13,P3 normal,---,JDT-Core-Inbox,,,,,,,2019-09-05 03:49 EDT by Alexander Veit,2019-09-24 08:04 EDT,1 user
550787,P builds and Y builds should be built from 4_13_maintenance,NEW,None,Platform,Releng,4.13,P3 normal,---,Platform-Releng-Inbox,,,,,,,2019-09-05 03:53 EDT by Sarika Sinha,2019-09-05 03:53 EDT,0 users
550788,Replace Tip of the day Early Startup extension with an OSGi service,RESOLVED FIXED,None,Platform,User Assistance,4.13,P3 normal,4.14 M1,Lars Vogel,,,,,,550883,2019-09-05 03:55 EDT by Lars Vogel,2019-09-13 22:21 EDT,2 users
