id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks
73,New dialog in Add to workspace is annoying (1GDXAQU),VERIFIED FIXED,None,Platform,Team,2.0,P3 normal,---,James Moody,,,,,,
74,Text not released when changed during compare (1GEGNP2),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,James Moody,,,,,,
75,SEVERE: Got conflicts and can't get rid of them (1GE2HV8),RESOLVED INVALID,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
76,Repo view: status text for resources does not tell stream (1GE40ME),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,2.0 M6,James Moody,,,,,,
77,"DCR: Need ""Expand All"" in comparison editor (1GE50QW)",RESOLVED FIXED,None,Platform,Team,2.0,P3 normal,2.0 M6,James Moody,,,,,,
78,Confusing repositories view (1GE558R),VERIFIED FIXED,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
79,release - tree update does not scale (1GE67VY),RESOLVED FIXED,None,Platform,Team,2.0,P5 normal,---,James Moody,,,,,,
80,Should be able to use delete key in repo view (1GFXPY8),VERIFIED FIXED,None,Platform,Team,2.0,P3 normal,---,James Moody,,,,,,
81,Cannot interrupt large file release (1GE6RUE),RESOLVED FIXED,None,Platform,Team,2.0,P4 normal,2.0 M5,Jeff Brown,,,,,,
82,Unhelpful conflicts on a folder (1GE6S2I),RESOLVED FIXED,None,Platform,Team,2.0,P5 normal,2.1,Kevin McGuire,,,,,,
83,Canceling leaves partial results (1GE6S9P),RESOLVED WONTFIX,None,Platform,Team,2.0,P5 normal,---,Kevin McGuire,,,,,,
84,(ECORNER) Non-HEAD streams should only show projects that have that tag (1GE70S0),VERIFIED FIXED,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
85,Comparison browser does not save (1GE715H),RESOLVED FIXED,None,Platform,Team,2.0,P3 normal,2.0 M4,James Moody,,,,,,
86,"Catchup/Release mode should be ""Power User Mode"" (1GEYUDK)",RESOLVED FIXED,None,Platform,Team,2.0,P5 normal,2.0 M4,James Moody,,,,,,
87,Check menu order and separators (1GE720S),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,Kevin McGuire,,,,,,
88,VCM: Save modified files before release (1GE7K8N),RESOLVED FIXED,None,Platform,Team,2.0,P3 normal,2.0 M6,Jean-Michel Lemieux,,,,,,
89,"""Stream already exists"" error message unhelpful (1GE764K)",RESOLVED INVALID,None,Platform,Team,2.0,P3 normal,---,James Moody,,,,,,
90,No properties for projects in other streams (1GE7FSK),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,James Moody,,,,,,
91,If want to change name in connection you lose sync (1GE8H6D),VERIFIED FIXED,None,Platform,Team,2.0,P3 normal,---,Michael Valenta,,,,,,
92,CVS UI & core need clearer separation (1GELJY4),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,Kevin McGuire,,,,,,
93,VCM UI: discard of connection should remove password from keyring? (1GE8OOH),RESOLVED FIXED,None,Platform,Team,2.0,P3 normal,2.0 M6,Michael Valenta,,,,,,
94,'Repositories View': all file types open to the text editor (1GE8YMJ),RESOLVED DUPLICATE of bug 2,None,Platform,Team,2.0,P3 normal,---,James Moody,,,,,,
95,'Nothing known' error from CVS (1GEA876),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,Kevin McGuire,,,,,,
96,core: getAdaptor() should throw VCMException (1GEGTWV),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,Kevin McGuire,,,,,,
97,Location for added projects (1GEAG27),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,James Moody,,,,,,
98,Need,RESOLVED DUPLICATE of bug 26,None,Platform,Team,2.0,P3 normal,---,James Moody,,,,,,
99,Compare on release is slow (1GEHPR1),RESOLVED FIXED,None,Platform,Team,2.0,P5 normal,2.0 M4,James Moody,,,,,,
100,Would like a way to take a write lock on a team stream when releasing (1GEHQ5X),RESOLVED INVALID,None,Platform,Team,2.0,P3 normal with 1 vote,---,Jean-Michel Lemieux,,,,,,
