785,Refactor getDefaultViewId and add explanatory comment
2018-05-04T02:57:09Z,discuss,"
No description provided.
"
2018-05-21T16:55:18Z,discuss,@develar?
2018-05-04T02:54:45Z,commit,Refactor getDefaultViewId and add explanatory comment,github.com/JetBrains/intellij-community/pull/785/commits/f39fefac9f348a9ef935a343cb0fa3f5915bf874
