571,IDEA-172832. Support long module names in Find in Path.
2017-05-15T00:05:34Z,discuss,Sets the preferredWidth to the length of the longest module name in the selected project.
2017-05-16T13:29:58Z,discuss,The issue was fixed as https://youtrack.jetbrains.com/issue/IDEA-172116
2017-05-14T23:54:03Z,commit,IDEA-172832. Support long module names in Find in Path.,github.com/JetBrains/intellij-community/pull/571/commits/e6eadf21efb0fc2ecb2cfcf282c2b4d3047505d4
