550,Ensure '_latest_subtest_result' is set.
2017-04-13T15:15:36Z,discuss,Prevent AttributeError: 'NewTeamcityServiceMessages' object has no attribute '_latest_subtest_result'
2017-04-13T15:30:38Z,discuss,"Have you submitted a contributor license agreement? If not, please follow the steps described at http://www.jetbrains.com/agreements/cla/ to sign it."
2017-04-13T18:22:11Z,discuss,I did signed the agreement.
2017-04-13T15:15:15Z,commit,Ensure '_latest_subtest_result' is set.,github.com/JetBrains/intellij-community/pull/550/commits/56a4b9618a99ea920458620ce14a57aecad4fc28
