888,Update VolatileLongOrDoubleField.html
2018-10-13T15:58:21Z,discuss,Improve grammar.
2018-10-13T16:00:09Z,discuss,"As an aside, I'm curious which JVMs have violated this specification."
2018-10-17T02:24:37Z,discuss,Merged. Thank you!
2018-10-13T14:41:17Z,commit,Update VolatileLongOrDoubleField.html,github.com/JetBrains/intellij-community/pull/888/commits/b6ac3474205d20c96afbcd2c1a1895d9e84c8a36
