1251,Do not try to migrate string binary expressions
2019-11-16T20:07:55Z,discuss,Let be
2019-11-16T20:07:55Z,discuss,"When asking type migration of variable number from int to long, the migration fails because it fails to convert variable query from String to long."
2019-11-16T20:07:55Z,discuss,"This PR makes type migration consider those kind of assignment as migration compatible, i.e. not requiring any kind of conversion."
2019-11-19T00:43:46Z,discuss,Tests added
2019-12-10T16:49:48Z,discuss,Hello?
2019-11-16T20:04:26Z,commit,Do not try to migrate string binary expressions,github.com/JetBrains/intellij-community/pull/1251/commits/efe8f4263fb494375b49570066e542a742502578
