1186,Remove redundant spaces in code
2019-08-08T20:57:16Z,discuss,"
No description provided.
"
2019-08-09T09:16:28Z,discuss,"Merged manually, thanks."
2019-08-08T20:55:46Z,commit,Remove redundant spaces,github.com/JetBrains/intellij-community/pull/1186/commits/84a9675fd7f22869a82c2d25096b7f5fda41a460
