1274,PY-14631 Use IPython config file in Python Console
2019-12-13T07:40:03Z,discuss,"@Elizaveta239
I seem to solve the problem
Could you help me examine if this PR indeed makes PyCharm load IPython config flie and possibly break other things?"
2019-12-13T15:14:43Z,discuss,Thank you @msoxzw! I'll pass a build to our QAs for testing!
2019-12-13T07:31:47Z,commit,PY-14631 Use IPython config file in Python Console,github.com/JetBrains/intellij-community/pull/1274/commits/29b41da382e03cc65fd8b5b038f113b796a22c16
