491,Update error messages for version control plugins to be more readable.
2016-12-09T21:53:46Z,discuss,The current error messages are a bit awkward to read so I just changed them up a bit.
2017-07-05T16:12:03Z,discuss,"Sorry for the late update,
Merged manually.
Thanks!"
2016-12-09T21:48:28Z,commit,Update SvnBundle description to have more natural sentence,github.com/JetBrains/intellij-community/pull/491/commits/eb22fcec0cfe9cca3da27e67fa161c861cada89d
2016-12-09T21:49:48Z,commit,Update GitBundle error description to have more natural sentence,github.com/JetBrains/intellij-community/pull/491/commits/8052d5198c9412f22d323224b38bd35424f0e0ff
2016-12-09T21:52:00Z,commit,Update Hg4idea error message description to have a more natural sentence,github.com/JetBrains/intellij-community/pull/491/commits/37df70453843e1b523cb6f31c872a0b5019f99aa
