573,Fix error when using behave 1.2.6dev
2017-05-16T15:20:18Z,discuss,"If you run behave tests from PyCharm using behave 1.2.6-dev (installed from master branch), an error message is shown in console:"
2017-05-16T15:20:18Z,discuss,Behave ModelRunner class has been updated few months ago and now log_capture is located inside capture_controller. This commit contains the update: behave/behave@82aabc1#diff-6b74cab5955bbc0f7bce44cca7cfd975R435.
2017-08-03T07:25:48Z,discuss,I close this PR because it's already solved in 9bd6f13
2017-05-16T10:54:46Z,commit,Fix error when using behave 1.2.6dev,github.com/JetBrains/intellij-community/pull/573/commits/159470d4676d224746f63aeb2e5cfd9d40a32275
