166,IDEA-123665 richcopy enabled for console and highlighters
2014-04-09T15:41:34Z,commit,java 8: anonymous class fields could be available later in next lambd¡­,github.com/JetBrains/intellij-community/pull/166/commits/6d7cfc99c215437abeb457e1ed0554bd14597b95
2014-04-09T15:46:43Z,commit,testdata for IDEA-123731,github.com/JetBrains/intellij-community/pull/166/commits/07600e5109a07a5493d76ba5148e21d2fb8eed95
2014-04-09T16:00:44Z,commit,IDEA-100036,github.com/JetBrains/intellij-community/pull/166/commits/d9cd272b07d8e5a395403ceff80e1d4e21b5359b
2014-04-09T16:58:01Z,commit,java 8: anonymous class fields could be available later in next lambd¡­,github.com/JetBrains/intellij-community/pull/166/commits/ef82d76864efbb7c5e56d0207688473f9af37e16
2014-04-09T17:24:44Z,commit,check access class for super expressions referenced to interfaces,github.com/JetBrains/intellij-community/pull/166/commits/5a0fe4306e35d88b0878a9205937ad2dbf227e3d
2014-04-09T18:21:27Z,commit,invert boolean: ensure to invert default boolean initializer (IDEA-12¡­,github.com/JetBrains/intellij-community/pull/166/commits/666adddc20d6b35d12701406f47ee7057b862d1e
2014-04-09T18:29:12Z,commit,generate test templates: include static imports on Assert-s to provid¡­,github.com/JetBrains/intellij-community/pull/166/commits/e8d0e26fd71809e882e5b5d4b2a57416360b602c
2014-04-09T18:30:57Z,commit,compilation fix,github.com/JetBrains/intellij-community/pull/166/commits/d4adc24cc10277b18851a6c93efe54af96f22def
2014-04-09T18:40:58Z,commit,register JList as generified compared to java 1.6,github.com/JetBrains/intellij-community/pull/166/commits/c928235c70bf0871ed729c7998603e7144faad40
2014-04-09T18:55:33Z,commit,use trove maps/sets to save some memory,github.com/JetBrains/intellij-community/pull/166/commits/8278ee9dea75cad4b2429da2aac4cbb04e24d84e
2014-04-09T19:01:26Z,commit,debug VisitingTest,github.com/JetBrains/intellij-community/pull/166/commits/d511bdc55c542f7656bf2f9807742393726e0391
2014-04-09T19:10:39Z,commit,IDEA-122856 Hard to catch layout delimiter in portrait mode,github.com/JetBrains/intellij-community/pull/166/commits/c871aed4deedb733e2815dd6119c48582210f6ee
2014-04-09T19:32:37Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/166/commits/fbb72f1ebfa90219a3bbf9a692338b6c1aa0adb8
2014-04-09T19:34:05Z,commit,Merge branch 'patch-1' of,github.com/JetBrains/intellij-community/pull/166/commits/70a621d91085561fe1ff211df894d2e241d72cac
2014-04-09T19:47:35Z,commit,remove links to old artwork,github.com/JetBrains/intellij-community/pull/166/commits/5329af0505edf7c6874b1fbaa76b62bca5a5317a
2014-04-09T19:49:20Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/166/commits/8d7f36994e944dd99f943a05e4e4e97eb3870c9b
2014-04-09T19:53:22Z,commit,"so long, and thanks for all the fish",github.com/JetBrains/intellij-community/pull/166/commits/3a1128a82857cfe1eb8492a92d7ee38488d70851
2014-04-09T19:52:40Z,commit,PasswordSafe: implement memory / master password timeouts,github.com/JetBrains/intellij-community/pull/166/commits/025e804f9698894a04090646a27842fae45ef88a
2014-04-09T20:10:10Z,commit,"don't use AtomicReferenceFieldUpdater ¡ª field name could be changed, ¡­",github.com/JetBrains/intellij-community/pull/166/commits/79a999d8561766477318ffcf90960fea4bb2fd34
2014-04-09T20:14:31Z,commit,IDEA-123403 TestNG integration ignoring test classes without default ¡­,github.com/JetBrains/intellij-community/pull/166/commits/bdfa1217308d4ba70660dd9117f83b188b0bf2f0
2014-04-09T20:50:49Z,commit,do not switch scopes when focus is not requested/assume it is autoscr¡­,github.com/JetBrains/intellij-community/pull/166/commits/45668716a0ee7bd2382a41c820b18bca01bb92d3
2014-04-09T22:09:16Z,commit,extracted InputIndexDataExternalizer,github.com/JetBrains/intellij-community/pull/166/commits/ce5cda12b4c5603515e1aca18b2259fe2862a61b
2014-04-09T22:10:19Z,commit,introduced hasSnapshotMapping,github.com/JetBrains/intellij-community/pull/166/commits/6fb1478d56234c84e367fb4552f408f6e82b358c
2014-04-09T22:11:44Z,commit,extracted content hashing code into util class,github.com/JetBrains/intellij-community/pull/166/commits/cae46102e57c9d27cbe2800152048bfbb6c50959
2014-04-09T22:29:36Z,commit,Fix NPE on vagrant based interpreter creation (PY-12625).,github.com/JetBrains/intellij-community/pull/166/commits/af109cb1ee141fa17cf0b1d753cb5d154c399c82
2014-04-09T22:37:38Z,commit,fix compilation for uncommitted code,github.com/JetBrains/intellij-community/pull/166/commits/f59ef7c1bddcbe89d0fd075020b1f977f50a8ff3
2014-04-09T23:24:45Z,commit,Fixed path mappings for remote interpreters (PY-12550).,github.com/JetBrains/intellij-community/pull/166/commits/4efdfe2e78b19b005f3e9a4bc9400dda0fe84faa
2014-04-09T23:26:57Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/166/commits/43c2a5fb75589d4cc1501caf02f7c7c347eba158
2014-04-10T00:53:02Z,commit,Print disposable stack trace in case of unreleased editors.,github.com/JetBrains/intellij-community/pull/166/commits/82b66b9a731d9dcb55aecaf25b45c696d8439e2b
2014-04-10T00:54:22Z,commit,Dispose correctly console view.,github.com/JetBrains/intellij-community/pull/166/commits/0a57685f505af1cf46e2072502421d50206c2387
2014-04-10T00:55:01Z,commit,Fix editor leak in tests.,github.com/JetBrains/intellij-community/pull/166/commits/b9117c12a999f61136e2faa1937d408d6b7a860d
2014-04-10T01:00:58Z,commit,Fix tips.,github.com/JetBrains/intellij-community/pull/166/commits/4961cdc17d58f8da071d95a75fecdf15aa38c811
2014-04-10T06:49:37Z,commit,IDEA-122405 Indent selection is disabled in IDEA 13.1,github.com/JetBrains/intellij-community/pull/166/commits/390d102f1c383eec86732348d72fbdfb7d67e140
2014-04-10T07:06:48Z,commit,fix Tab behaviour when there's selection,github.com/JetBrains/intellij-community/pull/166/commits/b3c2e61aa80e8f96205cc17d5c198deddb93bc47
2014-04-10T07:21:32Z,commit,Platform: meta-backspace remapped to Delete in Mac OS X 10.5+ keymap ¡­,github.com/JetBrains/intellij-community/pull/166/commits/be04021cc33606beb347d977634a7310e6b590d6
2014-04-10T07:56:10Z,commit,IDEA-90254 Feature suggestion: add names and groups to breakpoints,github.com/JetBrains/intellij-community/pull/166/commits/a9c5e47149b70efd7934be0acb295ad42d09b18b
2014-04-10T08:24:39Z,commit,IDEA-90254 Feature suggestion: add names and groups to breakpoints - ¡­,github.com/JetBrains/intellij-community/pull/166/commits/004ae7b9b4699ac5e34601c6cb7de0dd8bbac3de
2014-04-09T12:17:08Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/166/commits/944bdb4fc290d92c8336fcc7d53fe11c5a8c3de3
