479,Remove duplicate boolean expression
2016-12-01T01:21:26Z,discuss,бн added by commit d9f0948.
2016-12-06T17:35:43Z,discuss,Merged manually. Thanks.
2016-12-01T01:17:43Z,commit,Remove duplicate boolean expression,github.com/JetBrains/intellij-community/pull/479/commits/3ad11fda8d9718de0b690e86c0816034f649b91e
