1194,PY-15468 Search class and instance attributes
2019-09-02T03:36:41Z,discuss,https://youtrack.jetbrains.com/issue/PY-15468
2019-10-18T03:00:00Z,discuss,ok
2019-09-02T03:32:26Z,commit,PY-15468 Search class and instance attributes,github.com/JetBrains/intellij-community/pull/1194/commits/3eae5e1f5f2221ec0019f080dc088a12fa654a72
