1027,Fixed #IDEA-205163 performance leak
2019-01-10T12:00:56Z,discuss,"
No description provided.
"
2019-01-10T12:33:40Z,discuss,"Have you submitted a contributor license agreement? If not, please follow the steps described at http://www.jetbrains.com/agreements/cla/ to sign it."
2019-01-10T14:05:16Z,discuss,Yes I did
2019-01-16T17:00:17Z,discuss,fixed the other (less scary) way for now
2019-01-10T11:59:56Z,commit,Fixed #IDEA-205163 performance leak,github.com/JetBrains/intellij-community/pull/1027/commits/6f5ed34f06cc580979394a5924b805dfabfe702b
