1058,IDEA-141083  New Task  - Branch list improvements: SpeedSearch
2019-02-08T17:38:46Z,discuss,Implements https://youtrack.jetbrains.net/issue/IDEA-141083
2019-03-07T15:42:13Z,discuss,"Integrated, thanks!"
2019-02-08T17:36:00Z,commit,IDEA-141083 New Task - Branch list improvements: SpeedSearch,github.com/JetBrains/intellij-community/pull/1058/commits/e870c04c979ff57ea4e37b87094b9fd4f2222576
