1172,Delete code dead since commit 51e756a
2019-07-13T21:00:03Z,discuss,@alexeypegov
2019-09-18T14:00:42Z,discuss,@SergeyMalenkov?
2019-10-23T12:42:39Z,discuss,Merged. Thank you.
2019-07-13T20:13:13Z,commit,Delete code dead since commit,github.com/JetBrains/intellij-community/pull/1172/commits/d784213e09e69b2f2db70bdfdd64b7ba61ddabf5
