1028,PY-33474 updates pyparsing to version 1.5.6
2019-01-11T00:22:12Z,discuss,Version 1.5.2 had a memory leak causing stubs generation for the gi.repository.Gtk module to consume large amounts of RAM.
2019-01-11T00:22:12Z,discuss,See an explanation at https://youtrack.jetbrains.com/issue/PY-33474
2019-01-15T13:37:16Z,discuss,@ju1ius Merged. Thanks for your contribution!
2019-02-02T19:28:03Z,discuss,@east825 Did this actually get merged?
2019-02-03T08:55:27Z,discuss,@danyeaw Yes: https://github.com/JetBrains/intellij-community/blob/master/python/helpers/pycharm_generator_utils/pyparsing_py3.py#L61
2019-01-11T00:19:34Z,commit,updates pyparsing to version 1.5.6,github.com/JetBrains/intellij-community/pull/1028/commits/e457b756b8fe0a4185ca5b13a56a182a1a8bc433
