660,[IDEA-169111] load fish functions on init
2017-11-10T19:02:32Z,discuss,"More detail on this issue:
https://youtrack.jetbrains.com/issue/IDEA-169111"
2017-11-12T16:05:56Z,discuss,"Have you submitted a contributor license agreement? If not, please follow the steps described at http://www.jetbrains.com/agreements/cla/ to sign it."
2017-11-12T16:13:31Z,discuss,"@klikh, oh I see. My first pr for intellij, don't know this thing.
I just signed it."
2018-07-21T11:17:15Z,discuss,"Already fixed, thanks for PR."
2017-11-10T19:01:53Z,commit,[bug-fix] load fish functions on init,github.com/JetBrains/intellij-community/pull/660/commits/5059d8e15b2e8c0782136e33e59198f42ab0a38c
