1114,Add missing quotes in NSIS configuration
2019-04-10T12:42:48Z,discuss,"Without this, a manufacturer with a space in the name causes UnStrStr
to be invoked with bogus extra arguments."
2019-04-12T07:59:17Z,discuss,Fixed. Thank you.
2019-04-10T12:41:59Z,commit,Add missing quotes in NSIS configuration,github.com/JetBrains/intellij-community/pull/1114/commits/c1490e64c974bb937ec1924f8f404f219de71aaa
