377,145
2016-04-01T06:20:31Z,discuss,"
No description provided.
"
2016-03-15T09:01:35Z,commit,SOE with recursive type parameter dependencies,github.com/JetBrains/intellij-community/pull/377/commits/a414dbb435a3f8d9da4377a98710cdef6f4a747c
2016-03-15T09:58:08Z,commit,EA-80374 - IAE: QuickFixFactoryImpl.createMethodReturnFix,github.com/JetBrains/intellij-community/pull/377/commits/9e12dc67bf481b7679775a26a0a709c740945f23
2016-03-15T17:34:43Z,commit,show static import suggestion: ensure normal inference process for me¡­,github.com/JetBrains/intellij-community/pull/377/commits/36236d4caca59813437fd881b8c072bc0a401198
2016-03-15T17:43:23Z,commit,replace constructor with factory: skip new expression inside old fact¡­,github.com/JetBrains/intellij-community/pull/377/commits/64b2cccd5d1a2473b087a75e156cbd991b58c448
2016-03-16T12:32:41Z,commit,lambda -> method ref: compare denotable types (IDEA-153054),github.com/JetBrains/intellij-community/pull/377/commits/d92e1b29076a0e27716c53a44db74f2e9abdfe63
2016-03-16T14:28:43Z,commit,accessibility checks: stop at library level,github.com/JetBrains/intellij-community/pull/377/commits/69812707ae7e1c867fba0c8fe96972d955d0e887
2016-03-16T16:38:04Z,commit,move class or package: open in editor option doesn't depend on select¡­,github.com/JetBrains/intellij-community/pull/377/commits/f2f6654dcd899477b48a57ad09e05ce8ed34da3f
2016-03-17T14:52:25Z,commit,unchecked warnings: don't warn about generics array creation if arg o¡­,github.com/JetBrains/intellij-community/pull/377/commits/87f6ad68f61f738729578ecd0b881cdfcf0b6c10
2016-03-17T16:38:17Z,commit,make type denotable: ensure that array type is not created over wildcard,github.com/JetBrains/intellij-community/pull/377/commits/ef244963ef13ea8ecb9c6f49b1fd702ac910b8f6
2016-03-17T16:57:08Z,commit,redundant cast: recapture wildcards for non-physical elements (IDEA-1¡­,github.com/JetBrains/intellij-community/pull/377/commits/d9bf07af3dfb641d69d48176430e13c6d52f6588
2016-03-17T20:21:41Z,commit,inference: don't include constraints to resolve if input bounds have ¡­,github.com/JetBrains/intellij-community/pull/377/commits/4433d5d4ac6ddbda4dcadb5ab5547e5c257d4156
2016-02-23T17:28:23Z,commit,don't check super type accessibility for classes from outside root mo¡­,github.com/JetBrains/intellij-community/pull/377/commits/c69d6880cfc08c647d56de2d8f17133c01b73edb
2016-03-14T11:44:15Z,commit,inference: unchecked warning in type params bounds (IDEA-152758),github.com/JetBrains/intellij-community/pull/377/commits/22043749e21c4714390e2c580eda702fd05df49a
2016-03-18T12:03:31Z,commit, merge II,github.com/JetBrains/intellij-community/pull/377/commits/aab60c7dd4b2feaa2f9d90bda33006a1e95a557d
2016-03-17T12:17:34Z,commit,[^pavel.fatin] IndexNotReadyException: include start trace as an atta¡­,github.com/JetBrains/intellij-community/pull/377/commits/38da7b3534a52d5f55bc63fb7ffb3640e57093eb
2016-03-05T09:16:16Z,commit,[^maxim] speed up UrlFilter,github.com/JetBrains/intellij-community/pull/377/commits/81e41166ad81cc7aae55c5153e088bc6240f55d7
2016-03-18T12:24:12Z,commit,Merge remote-tracking branch 'origin/145' into 145,github.com/JetBrains/intellij-community/pull/377/commits/e4bb59bc6a0570f0370ae45ea2566d697a1e2de0
2016-03-15T12:26:08Z,commit,IDEA-153021 refresh repo info after fetching during Update Project,github.com/JetBrains/intellij-community/pull/377/commits/10dec504fa82f42d26ef4ed9fa99be00476c9ddd
2016-03-15T12:28:19Z,commit,simplify: remove redundant fetch result initialization,github.com/JetBrains/intellij-community/pull/377/commits/10405988e4d73763c18ec0a55a6e2638b8a4e8c6
2016-03-18T14:01:54Z,commit,IDEA-152542 Windows uninstaller: cancelling the warning shown on atte¡­,github.com/JetBrains/intellij-community/pull/377/commits/641f9c0aefa2ed75bd075fbb3edeb5879f4cc517
2016-03-15T13:24:01Z,commit,IDEA-146638 Customize IDEA dialog for Community Edition suggests Java¡­,github.com/JetBrains/intellij-community/pull/377/commits/463cc3683d09052ede31cfba70d78e1bb91a7b6b
2016-03-15T14:51:15Z,commit,IDEA-148970 Unprintable symbols in Customize Idea wizard,github.com/JetBrains/intellij-community/pull/377/commits/19668e585729ff8f47c39f9e44e93a7142a042a9
2016-03-16T15:57:11Z,commit,IDE wizard dialog: show full product name in title,github.com/JetBrains/intellij-community/pull/377/commits/683c8831e14357761d001c097557e0e0c402de38
2016-03-16T16:27:41Z,commit,IDE wizard dialog: get rid of italic font in descriptions,github.com/JetBrains/intellij-community/pull/377/commits/87de31ebbcc919b4fee29856e1f3437f9f64509d
2016-03-16T18:04:01Z,commit,IDEA-125585 Cosmetic changes for featured plugins in the first start ¡­,github.com/JetBrains/intellij-community/pull/377/commits/0f1b136567bad874f13d28326493168000fd3260
2016-03-17T17:49:01Z,commit,don't call cell edit if selection key is enabled,github.com/JetBrains/intellij-community/pull/377/commits/391d5581aad1977ef47d78621f3c08fb71a1c818
2016-03-16T15:13:12Z,commit,file reference: code simplification,github.com/JetBrains/intellij-community/pull/377/commits/f4eeaa5d3ffc406e489b31a4a3666dce7142a656
2016-03-16T19:54:19Z,commit,IDEA-142781 Scroll preview,github.com/JetBrains/intellij-community/pull/377/commits/0cfbe99c90c4d5f803e783ed59ec6a94e40cbc8b
2016-03-19T14:56:27Z,commit,cross-compilation: fork javac process decision is based on required t¡­,github.com/JetBrains/intellij-community/pull/377/commits/aea9bbbd16a40f9bf225dc4f46afb8d6768ab336
2016-03-17T15:35:48Z,commit,updated some licence links,github.com/JetBrains/intellij-community/pull/377/commits/80b50ae32d9dc8d0a219ba45b0caac2bee4b3263
2016-03-18T07:08:49Z,commit,prevent recursion while building stubs from text (IDEA-150940 & EA-80¡­,github.com/JetBrains/intellij-community/pull/377/commits/278d9385bc9c26961a1bf6af405da8f9126f53c3
2016-03-17T12:49:44Z,commit,[vcs]: remove unnecessary ChangesViewManager refresh to avoid UI hang¡­,github.com/JetBrains/intellij-community/pull/377/commits/ae29d13c7762a80473cdbb1a4cd4e7a440a00182
2016-03-20T22:13:34Z,commit,Fix test,github.com/JetBrains/intellij-community/pull/377/commits/5c226c19dd6636c5bf887267297eceb4554e4210
2016-03-19T11:01:57Z,commit,simplify code,github.com/JetBrains/intellij-community/pull/377/commits/5c89fa81c38e0944186f70d291ba3fb60afbdaed
2016-03-21T09:30:59Z,commit,WEB-20882 Preserve setting `toggle auto-test` between IDEA restarts,github.com/JetBrains/intellij-community/pull/377/commits/d5c93a5e9f1a4a09e48ff3dca7f00ff378b42c66
2016-03-19T11:59:11Z,commit,[platform] completely skips paid upgrade check (IDEA-CR-9403),github.com/JetBrains/intellij-community/pull/377/commits/200ea7c46ea5e0dbea4bbabb732dab72ce7c08ea
2016-03-21T13:30:03Z,commit,Merge remote-tracking branch 'origin/145' into 145,github.com/JetBrains/intellij-community/pull/377/commits/43b1c9a68edc58694b85709073f1bd3bad0496ae
2016-03-16T09:27:07Z,commit,fix scrolling to caret at the end of soft wrapped line,github.com/JetBrains/intellij-community/pull/377/commits/c1cb41c9da959700507aa6cb586f311dcb761572
2016-03-21T14:20:15Z,commit,another case of IDEA-149939 CCE in com.intellij.execution.stacktrace.¡­,github.com/JetBrains/intellij-community/pull/377/commits/7546e5968c532e3d14ccf06ef0b766c615a13ed7
2016-03-14T15:45:08Z,commit,gradle: set TestModuleProperties production-module only for 'test' mo¡­,github.com/JetBrains/intellij-community/pull/377/commits/3b4300ed0da246d7f270ed115965c8fcd1ee4da6
2016-03-15T11:24:59Z,commit,IDEA-137118 Intellij debug through Gradle with a JavaExec dependent t¡­,github.com/JetBrains/intellij-community/pull/377/commits/0d336c9e23b3ec4a9ff6e75ae8b2812a1e1d4962
2016-03-18T09:27:33Z,commit,gradle: introduce an option to gather performance stats for custom to¡­,github.com/JetBrains/intellij-community/pull/377/commits/fcef7c65e44a367cbd05fd2b8bf44d2d08ca79fc
2016-03-18T10:19:47Z,commit,external system: deprecated method removed,github.com/JetBrains/intellij-community/pull/377/commits/7ac826eec798f3a8ad45decf5b8549297cccfcdc
2016-03-18T10:34:10Z,commit,gradle: debug logging of project import steps performance stats,github.com/JetBrains/intellij-community/pull/377/commits/308f480a93cae093a9515c783418218044fb94e8
2016-03-18T10:35:58Z,commit,external system: cleanup,github.com/JetBrains/intellij-community/pull/377/commits/ce19132182b7f31f8bfc9cea04f611049a0551f9
2016-03-18T10:56:51Z,commit,external system: cleanup,github.com/JetBrains/intellij-community/pull/377/commits/6f854a1dfb1bbcfcd3137e4d77694d0e560bda02
2016-03-18T15:14:39Z,commit,IDEA-153003 Dependent project appears twice in the gradle project view,github.com/JetBrains/intellij-community/pull/377/commits/bef2a9aa875ba4b7fab1cf069f19f013bb6d88bc
