1129,remove duplicated documentationProvider
2019-05-01T19:41:24Z,discuss,"
No description provided.
"
2019-05-06T09:02:15Z,discuss,Merged manually. Thank you!
2019-05-01T19:40:34Z,commit,remove duplicated documentationProvider,github.com/JetBrains/intellij-community/pull/1129/commits/65f6e9598311f694ac8127d03f455de6b6c724e0
