270,Update FormPreviewFrame.java
2015-05-26T14:56:32Z,discuss,declared final frame variable
2015-05-26T15:09:39Z,discuss,What problem does this pull request try to solve?
2015-05-26T14:56:04Z,commit,Update FormPreviewFrame.java,github.com/JetBrains/intellij-community/pull/270/commits/031f3d84121aa1eab1de465c8362192ca5179f87
