340,Fix typo
2016-01-01T23:55:34Z,discuss,"
No description provided.
"
2016-01-11T16:10:52Z,discuss,Merged. Thanks!
2016-01-01T23:55:00Z,commit,Fix typo,github.com/JetBrains/intellij-community/pull/340/commits/6c366d6ca8517891fb66817c2c83d28a0898858e
