1062,IDEA-207106 Log deprecation notices for uses of registerFileType() instead of FileTypeFactory
2019-02-11T18:26:07Z,discuss,Implements https://youtrack.jetbrains.net/issue/IDEA-207106
2019-02-14T11:34:22Z,discuss,"Merged manually, thank you for the contribution!"
2019-02-11T18:25:06Z,commit,IDEA-207106 Log deprecation notices for uses of registerFileType() in¡­,github.com/JetBrains/intellij-community/pull/1062/commits/f33d630504686eaf2202bd2fd58267898ede70e4
