1085,IDEA-208615: Fix one of UiNotifyConnector leak channels
2019-03-10T23:18:05Z,discuss,Introduce disposables corresponding to individual tabs. Use such a disposable to control lifecycle of UiNotifyConnector used by EditorTabbedContainer.CloseTab.
2019-03-18T22:47:21Z,discuss,This pull request is superseded by commit 42beaa8 IDEA-197682 Shadow action is created with the wrong lifetime spec (Disposable).
2019-03-10T23:15:24Z,commit,IDEA-208615: Fix one of UiNotifyConnector leak channels,github.com/JetBrains/intellij-community/pull/1085/commits/2797f8c6e217bff86a5eed27d364b7c6a55df1c3
