917,Fix Shift+Tab shortcut in RegExp form (IDEA-202189)
2018-11-14T21:41:21Z,discuss,"An AnAction must not be reused for multiple shortcuts, or all but the
last shortcut will be ignored."
2018-11-19T10:59:20Z,discuss,Merged manually with some changes as d6e2c54
2018-11-14T21:37:56Z,commit,Fix Shift+Tab shortcut in RegExp form (IDEA-202189),github.com/JetBrains/intellij-community/pull/917/commits/69fd2851182ae6934b2a3bda16e381964dd2a1ae
