565,i18n for Change Type Signature and Thread Dump actions
2017-04-24T16:47:42Z,discuss,"These two actions had their texts hard-coded at declaration.
For the Change Type Signature action, it was only necessary to delete the attribute from XML (the bundle had the associated text and description); for the Thread Dump action, I had to manually create the entries."
2017-06-07T08:39:58Z,discuss,Closing.
2017-04-24T16:38:06Z,commit,i18n for Change Type Signature and Thread Dump actions,github.com/JetBrains/intellij-community/pull/565/commits/2e5bb18783d9633a80bbd7df6fb9fe8b615cfc45
