221,Added the Close All Projects and Close Other Projects actions.
2014-11-10T20:15:37Z,discuss,These actions close multiple projects at once.
2014-11-10T20:15:37Z,discuss,"For the copyright comment, I didn't feel right putting my name in place of JetBrains s.r.o. since the ""update"" method's only changes were to add the usage of the ProjectManager and a change in verbiage for the presentation text."
2014-12-05T12:28:25Z,discuss,"Thanks for your contribution. We believe though that these actions are not highly demanded, while at the same time the File menu is already cluttered by many existing actions, so we'd avoid adding new ones unless necessary.
Having said that, we can advice you to create a separate plugin that adds these actions to IDEA."
2014-12-05T12:31:44Z,discuss,"Take a look at Frame Switcher plugin, it already contains an action for closing other projects, I could add even more if you want."
2014-12-05T13:09:48Z,discuss,"I had created a plugin with these actions.  I was thinking they would be better suited for the application at large, but I understand and respect your decision.  Thank for considering."
2014-11-09T12:01:21Z,commit,Added the Close All Projects and Close Other Projects actions.,github.com/JetBrains/intellij-community/pull/221/commits/5fa29b939479623e5f3cf93f308a020d42567652
