1199,Open a project by launcher.py when other window is already open
2019-09-16T23:01:53Z,discuss,Hi developers. Thank you very much for the wonderful project!
2019-09-16T23:01:53Z,discuss,"The launcher.py opens a project properly when no IntelliJ window is running. However, when some IntelliJ windows are running, the launcher.py doesn't open properly in macOS. This PR fixes the problem."
2019-09-16T23:01:53Z,discuss,I provide the following two demo video about before-PR and after-PR.
2019-09-16T23:01:53Z,discuss,
2019-09-16T23:01:53Z,discuss,
2019-09-16T22:49:22Z,commit,Open a project by launcher.py when other window is already open,github.com/JetBrains/intellij-community/pull/1199/commits/8313fdc136b70ddf55387c56da1c77a082242183
