1212,It is recommended to add a json view window.
2019-10-12T07:36:00Z,discuss,"Many times the String variable is json. If it is displayed in txt format, it is not convenient to read. Add json formatting window for easy reading."
2019-10-12T07:36:00Z,discuss,"
"
2019-10-12T07:36:00Z,discuss,"I believe that in the following way, the json type is a String variable that is more pleasing to the eye.
"
2019-10-09T15:19:40Z,commit,Clear superclass cache in TypePresentationService when plugin is unlo¡­,github.com/JetBrains/intellij-community/pull/1212/commits/e8018a7ca800e053974786b72ed65fbdbb05e6a4
2019-10-09T15:39:24Z,commit,Use TreeAnchorizer in NavBarItem to avoid storing strong references t¡­,github.com/JetBrains/intellij-community/pull/1212/commits/77e5a7a1bc9592a275694186716d1e593b7a10b3
2019-10-09T15:46:54Z,commit,Avoid storing strong references to plugin classes or classloaders in ¡­,github.com/JetBrains/intellij-community/pull/1212/commits/45bccfe4f02cd900c638444f65702452c12bad9f
2019-10-09T16:04:08Z,commit,Synchronously update actions when setAdditionalTitleActions is called¡­,github.com/JetBrains/intellij-community/pull/1212/commits/54311dccc32f1e212505484192a8eb8fefeadb94
2019-10-09T16:19:38Z,commit,Dispatch pending invocation events when unloading plugin (to make sur¡­,github.com/JetBrains/intellij-community/pull/1212/commits/c240c1838b3d98fbaa43ed1e7ffbac198849ccef
2019-10-09T16:20:09Z,commit,Anchorize elements in NavBarModel (to avoid storing strong PSI refere¡­,github.com/JetBrains/intellij-community/pull/1212/commits/5953934cb3808c2602bf76c5ff0dd38d4a39555e
2019-10-09T16:20:57Z,commit,Reimplement CompositeDocumentationProvider building so that it can be¡­,github.com/JetBrains/intellij-community/pull/1212/commits/27dc9e2e29421230bc2ece601b0b9bcf88a3ad8f
2019-10-09T16:21:43Z,commit,Remove unnecessary extra caching of style documentation provider (to ¡­,github.com/JetBrains/intellij-community/pull/1212/commits/d0805d62dacb05a92fa3f9dda8c09637b0496c2b
2019-10-09T16:22:17Z,commit,typo,github.com/JetBrains/intellij-community/pull/1212/commits/7410a9cf65186770e5164add29a85e47bb06d1c2
2019-10-09T16:33:41Z,commit,Support dynamic load/unload for <lang.externalAnnotator> and <lang.do¡­,github.com/JetBrains/intellij-community/pull/1212/commits/3888c54b5802e76776051277860f2f4067caa713
2019-10-09T16:35:36Z,commit,Show 10 closest-to-being-unloadable plugins,github.com/JetBrains/intellij-community/pull/1212/commits/192c9ed06a48e146241472981b88c7c7140c5f0a
2019-10-09T16:47:37Z,commit,"IG: fix ""Reuse of local variable"" inspection false positives (IDEA-13¡­",github.com/JetBrains/intellij-community/pull/1212/commits/60741b0f00ab3d384ce7c75439c7b47566199401
2019-10-09T17:47:03Z,commit,[ES] assert unexpected errors of the external task,github.com/JetBrains/intellij-community/pull/1212/commits/e017a1778d1a87c6396e44a623a68592a1f9564a
2019-10-09T17:30:54Z,commit,IDEA-215967 Move custom keymaps to plugins,github.com/JetBrains/intellij-community/pull/1212/commits/0445f1b5739e41e46439cacf0e2c718d9168e339
2019-10-09T18:32:29Z,commit,[platform] extracting IDE starter location code (IDEA-219946),github.com/JetBrains/intellij-community/pull/1212/commits/ad8272c32aec53dfd095c11c669603eedabc81c7
2019-10-09T18:33:26Z,commit,Cleanup (typos),github.com/JetBrains/intellij-community/pull/1212/commits/400018c548892d1c57c137ae17c654f3a85d397b
2019-10-09T18:34:50Z,commit,incompatible types tooltips: use short type names at varargs position¡­,github.com/JetBrains/intellij-community/pull/1212/commits/5b3ef443c96b6e0cd3784469a7c2d92faf8068ec
2019-10-09T18:53:10Z,commit,convert long menu to a searchable popup,github.com/JetBrains/intellij-community/pull/1212/commits/061dbef73879bdcb9c3d4e306018efc9e42f84da
2019-10-09T19:07:52Z,commit,IDEA-222562 Split view is broken/changed - close tabs and open recent¡­,github.com/JetBrains/intellij-community/pull/1212/commits/7e6d6650af25f6abc0829ab69b1f7789c5dbf2e0
2019-10-09T19:23:44Z,commit,fix test data for different UI settings,github.com/JetBrains/intellij-community/pull/1212/commits/9475133fbf59b528645aaecdc085d0f224b68fac
2019-10-09T19:40:40Z,commit,Cleanup (IDEA-CR-52564),github.com/JetBrains/intellij-community/pull/1212/commits/6a5b1f449d60b4a3af807af600d010f31869b576
2019-10-09T19:50:44Z,commit,IDEA-CR-53226 cleanup,github.com/JetBrains/intellij-community/pull/1212/commits/d1ca1a55304f1073046b7690e997e99acffef325
2019-10-10T04:06:34Z,commit,IDEA-224530 Support nullability check for vararg components,github.com/JetBrains/intellij-community/pull/1212/commits/4f50292978a13a04c37554828c8bc0ce525d9627
2019-10-10T04:26:51Z,commit,IDEA-224531 Support Arrays.asList in dataflow analysis,github.com/JetBrains/intellij-community/pull/1212/commits/ea5d1296c73c5d7e7568bfa7f9ec6c45b82afb9b
2019-10-10T05:14:16Z,commit,IDEA-215497 jbr/bin/java Access Denied during update from IC-192.4205¡­,github.com/JetBrains/intellij-community/pull/1212/commits/edd3eb3b602e37ed7d8909eb483d316cb7749263
2019-10-10T06:15:27Z,commit,[Gradle] fix tests on windows,github.com/JetBrains/intellij-community/pull/1212/commits/a5ac4d9fbd6f1b59cb3db447cbf497b6d583994b
2019-10-10T06:45:10Z,commit,incompatible types tooltip: append reason when provided for single ar¡­,github.com/JetBrains/intellij-community/pull/1212/commits/0edaac849d196d593b19dde81cb42929e587dc69
2019-10-10T06:50:12Z,commit,incompatible types: highlight parent call instead of lambda when the ¡­,github.com/JetBrains/intellij-community/pull/1212/commits/87deef960c21f9d3d82be84c8bae5cdc64a6774f
2019-10-10T07:07:17Z,commit,macOS build scripts: increase max wait for notarization results to 90¡­,github.com/JetBrains/intellij-community/pull/1212/commits/34f7b63ff215ed210f60c6d749049046c16c596a
2019-10-10T07:11:20Z,commit,Disable Extract method on annotation values,github.com/JetBrains/intellij-community/pull/1212/commits/f8106e25815300a3d7a4359ccaeacd80b131442d
2019-10-09T09:03:42Z,commit,EA-144939 - IAE: PsiElementUsageTargetAdapter.<init>,github.com/JetBrains/intellij-community/pull/1212/commits/e27b085e71452fc0cebce938bb0622782aa13b84
2019-10-09T09:36:27Z,commit,EA-212700 - NPE: MavenIndex.handleUpdateException,github.com/JetBrains/intellij-community/pull/1212/commits/7e9137b7dd72688c6306e885a1244f83c4f76074
2019-10-10T07:56:06Z,commit,"IDEA-220227 - get rid of old wadl-core library, replaced with simple ¡­",github.com/JetBrains/intellij-community/pull/1212/commits/9118f09b00f6d0bd4dd81cc5fa57c21237339f26
2019-10-10T08:04:01Z,commit,"IDEA-220227 - get rid of old wadl-core library, removing jar file",github.com/JetBrains/intellij-community/pull/1212/commits/a926913886d32e633c0f6385eb852b6ec794fad9
2019-10-10T08:23:29Z,commit,TextDescriptor#getText:,github.com/JetBrains/intellij-community/pull/1212/commits/34aa95a47e26a77e4ef10c7ca7d9fa0ba2a4a6c2
2019-10-10T08:25:34Z,commit,IDEA-172876 Purity inference algorithm does not match hardcoded contr¡­,github.com/JetBrains/intellij-community/pull/1212/commits/c3b73e2201bc3031b5247e1a84cf0d390d03fb9b
2019-10-10T08:28:58Z,commit,remove unused ProjectAndLibrariesScope#mySearchOutsideRootModel and S¡­,github.com/JetBrains/intellij-community/pull/1212/commits/41acba664c3126080cb4c7c03450581cf2a43938
2019-10-10T08:37:17Z,commit,[Gradle] fix tests on windows,github.com/JetBrains/intellij-community/pull/1212/commits/77f77314da30c58eed0e3f54a99202739e0a5679
2019-10-10T08:42:08Z,commit,CharsetObjectCanBeUsedInspection: take into consideration current lan¡­,github.com/JetBrains/intellij-community/pull/1212/commits/042878d12fbcd54f3ffa65033849610e03917bef
2019-10-10T08:51:16Z,commit,DataFlowInspection: message updated according to review,github.com/JetBrains/intellij-community/pull/1212/commits/60e001e29e4b014336eb6c4b59af3aef9fda009b
2019-09-11T12:40:48Z,commit,providing quick fixes to blocking method inspections,github.com/JetBrains/intellij-community/pull/1212/commits/98d52579a510e696b72239eb829c78f5ec2c44bb
2019-10-10T09:33:13Z,commit,java method ref highlighting: don't mirror errors of not applicable m¡­,github.com/JetBrains/intellij-community/pull/1212/commits/589b029a9735556f11f8264a6021576fe6fad2ac
2019-10-10T09:50:35Z,commit,java inference: keep a sign of failed inference on the top level,github.com/JetBrains/intellij-community/pull/1212/commits/fe78876b142767702f8af832e8971916fcbed8ff
2019-10-10T09:52:37Z,commit,IDEA-201463 IntelliJ LaF: change color from #d5d5d5 to #d4d4d4,github.com/JetBrains/intellij-community/pull/1212/commits/1d55c646263211d44b2fb637ff109615cf0927e1
2019-10-10T10:01:46Z,commit,[groovy] IDEA-220527 Rewrite 'Create method' using JvmElementActionsF¡­,github.com/JetBrains/intellij-community/pull/1212/commits/3339a4762c4b28a323a42d9fa9e10bfed64cfc2e
2019-10-10T10:12:53Z,commit,"IDEA-224546 ""Cannot annotate with both",github.com/JetBrains/intellij-community/pull/1212/commits/c2af9c1d1fd11da89f5dbf12e8595a8422a752c7
2019-10-10T10:13:21Z,commit,macOS build scripts: increase max wait for notarization results to 18¡­,github.com/JetBrains/intellij-community/pull/1212/commits/fe810d1a33c51eec31318d7b08f0cdfcad9a61c2
2019-10-08T17:05:44Z,commit,IDEA-224093 Inspection for Quarkus private field injection,github.com/JetBrains/intellij-community/pull/1212/commits/236acee119b33cf5884937dfebf4099e0bc37f20
2019-10-10T10:54:28Z,commit,Java15APIUsageInspection#loadForbiddenApi: return collection instead ¡­,github.com/JetBrains/intellij-community/pull/1212/commits/718dc23930382622160abf304788732eae4c00eb
2019-10-09T12:18:06Z,commit,IDEA-216616 Update LaF for IntelliJ / Darcula slider,github.com/JetBrains/intellij-community/pull/1212/commits/b257d34bc978d5da620e26f180be15c0339bc086
2019-10-10T11:14:30Z,commit,IDEA-216616 Update LaF for IntelliJ / Darcula slider,github.com/JetBrains/intellij-community/pull/1212/commits/3ad31d8a279d18b0b03d0fca67f3da3cbc21e84f
2019-10-09T17:41:31Z,commit,Goto Class/Symbol models support dynamic load/unload of contributors,github.com/JetBrains/intellij-community/pull/1212/commits/5edc5175b5061dc709c2744343455d571baa8a50
2019-10-09T17:52:55Z,commit,More dynamic EPs,github.com/JetBrains/intellij-community/pull/1212/commits/eb0f40e8e908a8aee57753d24b07452247e14ab5
2019-10-10T08:53:07Z,commit,IDEA-223977 [run-anything] fixed access to parameter in command witho¡­,github.com/JetBrains/intellij-community/pull/1212/commits/d4a4501fafe8b007756dda7c5349178e9808ad4a
2019-10-10T10:29:22Z,commit,IDEA-223833 [run-anything] added expected space after help command,github.com/JetBrains/intellij-community/pull/1212/commits/5dc1e9157acc2ca9305c091c927661572315bd32
2019-10-10T10:52:10Z,commit,[run-anything] added natural ordering of gradle completion,github.com/JetBrains/intellij-community/pull/1212/commits/44038cec96aadbc5a80cba5bcf7abb64c5124726
2019-10-10T11:34:26Z,commit,JavaEnterInTextBlockHandler: commit document on enter only for java f¡­,github.com/JetBrains/intellij-community/pull/1212/commits/524e6f6664504ce44f42367e13f41ef592422236
