633,Ep rascal transformation
2017-09-27T14:18:09Z,commit,IG: fix private class type detection,github.com/JetBrains/intellij-community/pull/633/commits/4ae9d8ea5d17449a4c2ee2155b4c863133b012c0
2017-09-27T21:59:01Z,commit,Redo Do not scan texts for changed range but get from uncommitted events,github.com/JetBrains/intellij-community/pull/633/commits/d95b88ad745d887a0dc422b86aa6bdaa20c63dc3
2017-09-28T03:12:38Z,commit,ControlFlowUtils#getNextReturnStatement: support blocks (IDEA-CR-24815),github.com/JetBrains/intellij-community/pull/633/commits/196ef4dd167a0224f68dba0cec3fcf56ca02fdff
2017-09-28T03:28:12Z,commit,TailRecursionInspection: switched on (to information level),github.com/JetBrains/intellij-community/pull/633/commits/bff07e490e061ac0edbe0e03c4d6978082319239
2017-09-28T04:07:51Z,commit,FuseStreamOperationsInspection: fixed method reference handling for d¡­,github.com/JetBrains/intellij-community/pull/633/commits/2af6330cb124693f003a295e4feb5174fdf10d7c
2017-09-28T04:16:07Z,commit,CollectionAddAllCanBeReplacedWithConstructorInspection: sorting defau¡­,github.com/JetBrains/intellij-community/pull/633/commits/b75c0596db4f46cf562268ab3e4779f9d3c68077
2017-09-28T04:18:42Z,commit,CollectionAddAllCanBeReplacedWithConstructor: description updated; ca¡­,github.com/JetBrains/intellij-community/pull/633/commits/cac7576b373fa601e2b61e2206e7d9ea9a016021
2017-09-28T06:15:14Z,commit,ConstantExpressionVisitor: for class access expression return the ope¡­,github.com/JetBrains/intellij-community/pull/633/commits/389e6a828d57b077889d94aa9590848d709888ea
2017-09-28T06:45:20Z,commit,improve TypedHandlerDelegate javadoc,github.com/JetBrains/intellij-community/pull/633/commits/1021f5331919c3448b0270e3949813cd78f0bdef
2017-09-28T06:56:52Z,commit,"Revert accidentally committed files from ""ConstantExpressionVisitor: ¡­",github.com/JetBrains/intellij-community/pull/633/commits/92a75b1a1cbeb2ffa726ca26e4c9d3e1be431fe1
2017-09-28T06:49:15Z,commit,don't load stubs from AST when querying stub index (use StubbedSpine),github.com/JetBrains/intellij-community/pull/633/commits/7eb23f80b5f318784f6f129441010a49037bdd9f
2017-09-28T07:08:54Z,commit,cf: condition is nullable in ruby,github.com/JetBrains/intellij-community/pull/633/commits/44639a258159eb9ce3bd730b54b0119be134c998
2017-09-28T07:40:52Z,commit,Dependency2.java: caret moved to fix test (default level was set to I¡­,github.com/JetBrains/intellij-community/pull/633/commits/eefafcc464f38f7ac44c5bc97e96cd299d23e92d
2017-09-28T08:22:26Z,commit,[java] quickfix for module accessibility issues in functional express¡­,github.com/JetBrains/intellij-community/pull/633/commits/0f373e6142473310b307c906ee1df7c0488c03b3
2017-09-28T08:26:08Z,commit,UAST-java: `PsiMethodCallExpression` conversion fix for fix,github.com/JetBrains/intellij-community/pull/633/commits/b7124904b28cf5edcf2aef70e3d38abb83dcd68b
2017-09-28T08:34:48Z,commit,Cleanup (formatting),github.com/JetBrains/intellij-community/pull/633/commits/5833e866efb12e8bf09b352ddeb924582ff85c86
2017-09-28T08:59:51Z,commit,OverwrittenKeyInspection,github.com/JetBrains/intellij-community/pull/633/commits/26033a5a889f567cf3d129f3c0b2223999fa5f94
2017-09-28T09:08:40Z,commit,build scripts: allow including output of artifacts configured in project,github.com/JetBrains/intellij-community/pull/633/commits/f548d5dfe51178b92711e2fdececfadbfc5e59aa
2017-09-28T09:10:14Z,commit,build scripts: include 'debugger-agent.jar' into IDEA distribution,github.com/JetBrains/intellij-community/pull/633/commits/91b2f05df145231ca68b537e9f906ce33c2c8c12
2017-09-28T09:23:03Z,commit,IDEA project configuration: corrected layout of 'debugger-agent' arti¡­,github.com/JetBrains/intellij-community/pull/633/commits/0904de0d901eb658bbb59ca43b17776ccc0a8cff
2017-09-28T09:29:49Z,commit,Build view node don't need to updateFileStatus,github.com/JetBrains/intellij-community/pull/633/commits/62e1d41c74aebcb446737d524586f127bce48075
2017-09-28T09:34:47Z,commit,Moved WSLUtil to platform-impl package,github.com/JetBrains/intellij-community/pull/633/commits/d2ec288fa5f6f061b4040b3c2f3cfa3da1ad68de
2017-09-28T09:54:36Z,commit,build scripts: fix updating from sources,github.com/JetBrains/intellij-community/pull/633/commits/d47cf3ffbd0870cd54c71f6ddacdcfec50c7acfe
2017-09-28T09:38:05Z,commit,inspections merger: copy default tools settings for missed scopes (ID¡­,github.com/JetBrains/intellij-community/pull/633/commits/6a820e420795b64a2d1669b0e3dfc93655ce1fbd
2017-09-28T09:51:41Z,commit,naming convention: groovy: copy old 'java' settings for test classes,github.com/JetBrains/intellij-community/pull/633/commits/80e1f8245a641b903a3b9fc8e91c5f622ea71670
2017-09-28T09:59:24Z,commit,Cleanup (dead code; warnings; typos; formatting),github.com/JetBrains/intellij-community/pull/633/commits/23b56ce656c27ebc62af125211da84f0c62d7318
2017-09-28T10:01:08Z,commit,correct caching of font metrics for display of parameter hints,github.com/JetBrains/intellij-community/pull/633/commits/bf0dfd4608cf9983de2e8cb1a87fba2b4802d7cc
2017-09-28T10:05:49Z,commit,Gradle aware build: use only qualified task names and 'assemble' task¡­,github.com/JetBrains/intellij-community/pull/633/commits/37003df4b11963a7fdcdbdba584c3fd1fdd20325
2017-08-14T19:09:43Z,commit,Composer Log: show ANSI output,github.com/JetBrains/intellij-community/pull/633/commits/95a0061bcf2c5ea66d558df9967ad270a3324aa8
2017-09-19T13:38:47Z,commit,Composer log: get rid of forced flushes in console,github.com/JetBrains/intellij-community/pull/633/commits/81cf14991da3fcbc21e7bb690f46b674dda6400d
2017-09-27T12:42:58Z,commit,WI-38208 Clearing the log throws exception,github.com/JetBrains/intellij-community/pull/633/commits/82bd03ad264170f39700f4458d0770e357c6401e
2017-09-27T10:34:38Z,commit,SerializationManager needs to be disposed to dispose StringInterner,github.com/JetBrains/intellij-community/pull/633/commits/0080352dee2b6db62232c0ca51e641a6bebdea3d
2017-09-27T11:12:00Z,commit,customizable index root,github.com/JetBrains/intellij-community/pull/633/commits/abf83d1adcb437c26d28026cd511bfdf7e86fb67
2017-09-28T10:25:48Z,commit,duplicated key removed,github.com/JetBrains/intellij-community/pull/633/commits/ee212a003d5e241b7bac8743fd08d8fa33be9522
2017-09-28T10:35:46Z,commit,looks like IGNORE was intended,github.com/JetBrains/intellij-community/pull/633/commits/6cb281d1395bc6c0b48d550f7177f5025919a5d4
2017-09-28T10:39:49Z,commit,platform: load bundled plugins in tests,github.com/JetBrains/intellij-community/pull/633/commits/cbdc550c15616a5b5cddb3070b613ae42a4d2ff4
2017-09-28T10:43:31Z,commit,platform: show informative exception message about missing essential ¡­,github.com/JetBrains/intellij-community/pull/633/commits/14a746aa990c832841b1b47a0d86cab6c0feb959
2017-09-27T11:49:26Z,commit,WI-38189 Initial Configuration: Skip All and Set Defaults applies the¡­,github.com/JetBrains/intellij-community/pull/633/commits/3e785e82d15277b1c65c559812729400ae217c7e
2017-09-28T10:56:27Z,commit,Gradle aware build: use only qualified task names,github.com/JetBrains/intellij-community/pull/633/commits/aa6797f2d2cdb9e322d6b1ac93f0c17b663f6533
2017-09-28T11:04:50Z,commit,Bundle *.properties plugin in PyCharm (PY-26261),github.com/JetBrains/intellij-community/pull/633/commits/a1c26110257a437d1b4e634da4794d31ce24a608
2017-09-28T11:05:55Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/633/commits/089a6eb308cae8d418720e686fdacbb78907878b
2017-09-28T11:23:23Z,commit,[tests] real JDK for Javadoc lint inspection test,github.com/JetBrains/intellij-community/pull/633/commits/f345fb827ba1757b487b9dabe1bc61f160905bad
2017-09-28T11:32:53Z,commit,handle missed name on the SchemeManager level because in this case we¡­,github.com/JetBrains/intellij-community/pull/633/commits/9ba4b918ddbbe4fb6d7ab5d36fbecf0cb7a8f1f4
2017-09-28T11:38:11Z,commit,cleanup (kotlin),github.com/JetBrains/intellij-community/pull/633/commits/7bf70a04f3f5e81b2cdc4834e2485bf76c0fd8ce
2017-09-28T12:16:22Z,commit,not-nullize SMTestRunnerResultsForm.getTestsRootNode,github.com/JetBrains/intellij-community/pull/633/commits/e74abc614bd49543ce22dbfb477377669ff40212
2017-09-28T12:23:44Z,commit,External system run configuration greeting folding updated,github.com/JetBrains/intellij-community/pull/633/commits/36fdd8b62db2b96233d00fbc5d91fc2b5c75d4c1
2017-09-28T12:01:20Z,commit,speefup goto file when slashes are present,github.com/JetBrains/intellij-community/pull/633/commits/cfcfd2b27c0e4d70feb7bede4e7a8d0ce339af9a
2017-09-28T12:35:18Z,commit,OrderEntryFix: don't fail on invalid code,github.com/JetBrains/intellij-community/pull/633/commits/fe1af5c26349685d2baeb022c8a1b17962d54584
2017-09-28T12:37:38Z,commit,Make the border thin again,github.com/JetBrains/intellij-community/pull/633/commits/14b31b8251d237896d74a1e8f9ac7f952b66cb01
2017-09-28T12:49:30Z,commit,build scripts: make field public to workaround groovy bug (IDEA-179615),github.com/JetBrains/intellij-community/pull/633/commits/049f60783b62cf1e6963c6dac6219912c00906fe
2017-09-26T14:01:08Z,commit,"IDEA-126914 Rename private gist to secret, refactor create gist api",github.com/JetBrains/intellij-community/pull/633/commits/db65279e9d4158fca2087a3b8a250273268f5740
2017-09-26T14:03:52Z,commit,Fix prepositions in gist test,github.com/JetBrains/intellij-community/pull/633/commits/bc3e358d7ef581795aa58f0b77b480f2c77a9cba
2017-09-28T12:55:57Z,commit,java mad testing: skip more expectations,github.com/JetBrains/intellij-community/pull/633/commits/e9859e5aeb5114e19c2573f2d1b6f4c17c2a7123
