1125,[FIX] Error when no args passed to script.
2019-04-19T12:39:58Z,discuss,if no args passed
2019-04-19T12:39:58Z,discuss,IndexError: list index out of range
2019-04-19T12:39:02Z,commit,[FIX] Error when no args passed to script.,github.com/JetBrains/intellij-community/pull/1125/commits/fbee6515e9356dbc030d1f3a37d16e02c69763c6
