872,IDEA-199485: org.gradle.api.Incubating in Unstable API Inspection
2018-09-25T22:05:35Z,discuss,Closes: https://youtrack.jetbrains.com/issue/IDEA-199485
2018-09-25T22:05:35Z,discuss,"This is the Gradle Incubating API:
https://docs.gradle.org/current/javadoc/org/gradle/api/Incubating.html"
2018-09-25T22:05:35Z,discuss,I think it would be valuable for plugin developers and build developers to know when they are using Gradle API's annotated with Incubating.
2018-09-28T16:54:40Z,discuss,@vladsoroka Do you need any additional information from me?
2018-10-01T09:11:41Z,discuss,"Have you submitted a contributor license agreement? If not, please follow the steps described at http://www.jetbrains.com/agreements/cla/ to sign it."
2018-10-01T09:26:33Z,discuss,"@vladsoroka We've received the CLA from Jonathan, everything is fine here."
2018-10-01T10:16:21Z,discuss,"I see, @JLLeitschuh thanks, the change has been merged uinsg the following commit f0be733"
2018-10-01T14:42:12Z,discuss,
2018-09-25T22:01:45Z,commit,IDEA-199485: org.gradle.api.Incubating in Unstable API Inspection,github.com/JetBrains/intellij-community/pull/872/commits/0d1f075503733526c08005e80a8a5f3272fad335
