840,Prevent exception wrapping to UndeclaredThrowableException
2018-07-27T10:43:34Z,discuss,If the corresponding external system api implementation throw some exception (e.g. ExternalSystemException) this exception will be wrapped to UndeclaredThrowableException. This happens because method method.invoke throw InvocationTargetException which is checked exception and such exception not a part of the corresponding proxied interface signature (e.g. RemoteExternalSystemProjectResolver.resolveProjectInfo method)
2018-07-27T15:49:55Z,discuss,Thanks for the contribution! The change has been merged using the following commit 090de8b
2018-07-27T10:28:56Z,commit,Prevent exception wrapping to UndeclaredThrowableException,github.com/JetBrains/intellij-community/pull/840/commits/e7bc3145387905b139dc06fd023317ab739e0468
