1250,Type cast expressions should be submitted to conversion rules for type migration
2019-11-16T13:22:15Z,discuss,"
No description provided.
"
2019-11-18T22:47:14Z,discuss,Tests added
2019-12-10T16:49:52Z,discuss,Hello?
2019-11-16T13:21:36Z,commit,Type cast expressions should be submitted to conversion rules for typ¡­,github.com/JetBrains/intellij-community/pull/1250/commits/040fdccff82c2cfc2a60b513982b309c368013b2
