1258,"When the migrated method parameter is bound to a super class type parameter, migrate the class type parameter"
2019-11-21T17:25:34Z,discuss,"
No description provided.
"
2019-12-10T16:50:36Z,discuss,Hello?
2019-11-21T15:45:53Z,commit,When the migrated method parameter is bound to a super class type par¡­,github.com/JetBrains/intellij-community/pull/1258/commits/bcc4f773fa07b189cea2bb2326811758be61607b
