844,Optimize plugin version checking when update intellij platform version
2018-07-31T11:44:15Z,discuss,"Merge remote-tracking branch 'JetBrains/master', and update #228."
2018-07-31T11:44:15Z,discuss,Checking plugin version by plugin version and since build
2018-07-31T11:44:15Z,discuss,@alexeypegov @ignatov
2018-08-01T09:22:45Z,discuss,"Could you please rebase the branch onto master and remove the ""Merge pull request #1"" commit, leaving only the meaningful one. Thanks!"
2018-08-01T10:36:14Z,discuss,"Sorry, I removed it.
Now: the plugin version will be find when idea platform upgraded, but downgrade don't."
2018-08-01T10:36:14Z,discuss,@klikh
2018-07-31T08:53:32Z,commit,optimize plugin version checking when update intellij platform version,github.com/JetBrains/intellij-community/pull/844/commits/66847f436a46a8f6b9e6d7caab1e0aaeaefcc841
