78,svn4idea / git4idea SSH agent support
2013-04-23T12:16:46Z,commit,fixes: use THashSet(FileUtil.PATH_HASHING_STRATEGY) instead of simple¡­,github.com/JetBrains/intellij-community/pull/78/commits/fba5a50d021263901778c84535d4b72a28011908
2013-04-23T12:17:49Z,commit,IDEA-91615 IDEA-104800 read platform version and sdk path from proper¡­,github.com/JetBrains/intellij-community/pull/78/commits/746df98c4991f66d696a1453cd2a9387e188e3f8
2013-04-23T12:19:00Z,commit,"do not read sdk path from the pom of external apklib artifact, becaus¡­",github.com/JetBrains/intellij-community/pull/78/commits/b56b458da2ff12b207ef9e704df94347bf3d7ac8
2013-04-23T12:19:49Z,commit,IDEA-104800 use newest existing platform if it is not specified in th¡­,github.com/JetBrains/intellij-community/pull/78/commits/7f607b1a5778af826bcbe7dd3a02c097454dde68
2013-04-23T13:07:43Z,commit,backport tests for Android builder,github.com/JetBrains/intellij-community/pull/78/commits/a4e28db349edf92d3265cb8486745f4d445ee431
2013-04-23T09:46:50Z,commit,IDEA-94350 Create from template: remember last selected project sdk f¡­,github.com/JetBrains/intellij-community/pull/78/commits/bb8f753881f64e2a8ab9aa04a259522a1ad20278
2013-04-23T11:55:01Z,commit,IDEA-94350 Create from template: remember last selected project sdk f¡­,github.com/JetBrains/intellij-community/pull/78/commits/1712b39d6b95987a534e09e1b33a307e44b739e1
2013-04-23T13:19:24Z,commit,[by:yole] IDEA-105953 Quick documentation info is shown when selectin¡­,github.com/JetBrains/intellij-community/pull/78/commits/0d1f2c20a78bedd129a46e19d3ddcf7bd8409777
2013-04-19T09:43:01Z,commit,[by:cdr] IDEA-105750 Convert line separators: Make action text more c¡­,github.com/JetBrains/intellij-community/pull/78/commits/ff114cc33320de2e65e3a56648d2786f4076ba8b
2013-04-22T10:33:08Z,commit,"limit size of LineTextErrorStripeTooltip, as there are man files with¡­",github.com/JetBrains/intellij-community/pull/78/commits/10371345cf7eb73278b0a14583d9356694033a8b
2013-04-23T13:00:01Z,commit,"Revert ""IDEA-105675 Parameter info lost generics""",github.com/JetBrains/intellij-community/pull/78/commits/27b6006f378c1b557c7724d2f9258fbd5b3ae7b7
2013-04-22T16:10:42Z,commit,for long lines show for the context only 1 symbol before and 1 symbol¡­,github.com/JetBrains/intellij-community/pull/78/commits/3ad3636508238c00d279c3c564d2ef9da0a5142f
2013-04-22T14:33:24Z,commit,"IDEA-105882 ""Reformat code"" makes uppercase in MySQL strings in the w¡­",github.com/JetBrains/intellij-community/pull/78/commits/bb6915f7f5337fa621265a9d51038bb3aa64f148
2013-04-23T17:01:40Z,commit,IDEA-105994 Support inline Regexp language in Bean Validation,github.com/JetBrains/intellij-community/pull/78/commits/f8d516bc16d7420500177eb81ea2eccc6015cc48
2013-03-29T14:26:05Z,commit,Continuation changes:,github.com/JetBrains/intellij-community/pull/78/commits/80a770dbb4ef4329c85eadaf398c92f3d452f942
2013-03-29T14:39:26Z,commit,Subversion: Quick merge tests!,github.com/JetBrains/intellij-community/pull/78/commits/e72d77b6f5e4d6c09e12bb35db8ea5c1fe76d946
2013-03-31T07:03:41Z,commit,"(see in issue) IDEA-104268 Subversion: Create a way in ""merge from"" t¡­",github.com/JetBrains/intellij-community/pull/78/commits/d06c441dd23e12cd88b3af229dca62be83a2170e
2013-03-31T08:16:00Z,commit,"Subversion: tests for new ""quick select for merge from""",github.com/JetBrains/intellij-community/pull/78/commits/00268d46bfb9d073643e3e7290a949952cf7ec18
2013-04-01T13:20:57Z,commit,"SSL specific alert code parsing: if found alert field, stop looking f¡­",github.com/JetBrains/intellij-community/pull/78/commits/c0b5094d79b7b579035075d1bcc7d07415c02087
2013-04-02T12:04:27Z,commit,Subversion: usability: add a notice on Create Branch Or Tag dialog sa¡­,github.com/JetBrains/intellij-community/pull/78/commits/93c788b56b21fadfeefdf287b158477ccbbfc5d7
2013-04-03T11:33:06Z,commit,"1) if URI does not contain port, take default value for protocol",github.com/JetBrains/intellij-community/pull/78/commits/e6937ba6e09b9ff9efe4f4ebf0166284fda404df
2013-04-03T11:33:06Z,commit,"Also, ask for proxy component that only is responsible for settings i¡­",github.com/JetBrains/intellij-community/pull/78/commits/002d7b305bc7ec79f33b0d74e9a82ee0aece8914
2013-04-23T18:28:01Z,commit,Merge remote branch 'origin/129' into 129,github.com/JetBrains/intellij-community/pull/78/commits/7b243a43bcfdf861744ff3b245e322bb0fca7aba
2013-04-24T05:24:00Z,commit,[by:cdr] IDEA-105751 Convert line separators: Provide an inspection w¡­,github.com/JetBrains/intellij-community/pull/78/commits/f9e61ee820cb55dad7108c1542cac15436c25de6
2013-04-24T10:46:21Z,commit,IDEA-106080 Installing 12.1.1 resulted in broken IDE,github.com/JetBrains/intellij-community/pull/78/commits/266a258e28968c04ed564d54580524596e195d53
2013-04-24T12:13:16Z,commit,disable 'Process module annotations' action for external build as it ¡­,github.com/JetBrains/intellij-community/pull/78/commits/4247348249b95ab66c17bfaba8718a0ac3e756e2
2013-04-24T13:36:02Z,commit,eap=false,github.com/JetBrains/intellij-community/pull/78/commits/d2b7068ecd1f1d3325877805139f65a282a8f1a6
2013-04-24T16:41:46Z,commit,Remove static field cache,github.com/JetBrains/intellij-community/pull/78/commits/814ec5743f358af59dcd4f3979f685cd53a9e7db
2013-04-24T15:09:58Z,commit,WEB-7606 Settings are not saved in emmet plugin,github.com/JetBrains/intellij-community/pull/78/commits/5dbde166fb9033c9c85a1f44910eeb8bdb391939
2013-04-24T13:37:17Z,commit,"IDEA-98078 IntelliJ IDEA always reports ""No suspicious code found"" on¡­",github.com/JetBrains/intellij-community/pull/78/commits/a6743eefe79e3fdbd98d415740366e03d1bc38fc
2013-04-25T07:37:07Z,commit,"IDEA-105942: Relax-NG Compact does not support ""external"" keyword",github.com/JetBrains/intellij-community/pull/78/commits/593595c5405a4d07f926dff59ed2f3ea6a4aa88d
2013-03-28T12:15:16Z,commit,WEB-5089 Twitter Bootstrap Template,github.com/JetBrains/intellij-community/pull/78/commits/c888607b4ce27a7bb49bb78f6ffebddeafa3df55
2013-04-25T09:18:51Z,commit,Merge remote-tracking branch 'origin/129' into 129,github.com/JetBrains/intellij-community/pull/78/commits/ae5800fb3762c92391a66853316c7add16e1a212
2013-04-25T12:58:50Z,commit,"IDEA-106119 (more rigorous check for ""this"" qualifier)",github.com/JetBrains/intellij-community/pull/78/commits/02c9d493582933d297ffa684d1b6b3d9b50f5886
2013-04-23T10:49:47Z,commit,typo,github.com/JetBrains/intellij-community/pull/78/commits/7a46d39986c71c8ea0f0ecd886ff8ea776f6e770
2013-04-25T13:02:28Z,commit,Merge branch '129' of git.labs.intellij.net:idea/community into 129,github.com/JetBrains/intellij-community/pull/78/commits/80b66a5e56ed65a8d12ea22cf22db5d55f038123
2013-04-19T13:04:16Z,commit,IDEA-105729 No change in the project when maven profile is activated ¡­,github.com/JetBrains/intellij-community/pull/78/commits/0d4548af3617b3963066bea8bf81170702c7f2e0
2013-04-22T10:53:01Z,commit,IDEA-67635 Accessing assign shortcut in the context of a maven goal d¡­,github.com/JetBrains/intellij-community/pull/78/commits/189ae170d7b18d60a2adf751a51715982050c7f9
2013-04-23T09:36:51Z,commit,Fix broken tests,github.com/JetBrains/intellij-community/pull/78/commits/6aabd8d9d78b95405fcbd5857ca1ae8ba8c0e04b
2013-04-18T10:34:12Z,commit,IDEA-105484 Maven integration does not resolve dependency with classi¡­,github.com/JetBrains/intellij-community/pull/78/commits/bc5dbf4c4cd60f7058ebe2e88ae6dcdd64537b2a
2013-04-24T16:00:59Z,commit,"IDEA-103878 Option ""Don't Detect"" for Settings -> Maven -> Importing ¡­",github.com/JetBrains/intellij-community/pull/78/commits/10f44cfdb22b7666064c548b58bd44cbc89f90d8
2013-04-24T18:07:04Z,commit,"IDEA-106145 Maven Artifact Search dialog: clicks on ""plus""/""joint"" tr¡­",github.com/JetBrains/intellij-community/pull/78/commits/d1687d563d0e12cf08881aea573d0c7effd38632
2013-03-22T08:58:05Z,commit,"support for vaadin 7 (cherry picked from commits c07c962,",github.com/JetBrains/intellij-community/pull/78/commits/5fec94a8eee593395386ef3fd436018bd5e82c18
2013-04-25T15:34:25Z,commit,IDEA-97048 Log console - empty lines.,github.com/JetBrains/intellij-community/pull/78/commits/8f54beb27bcb864dc5eb81c11827100e41237e0d
2013-04-25T15:59:56Z,commit,12.1.3 eap,github.com/JetBrains/intellij-community/pull/78/commits/0f9ee2b90749b30c70cc00720139839d4f9f3d4e
2013-04-23T08:48:32Z,commit,IDEA-105753 Complete Installation dialog with multi monitor in Ubuntu¡­,github.com/JetBrains/intellij-community/pull/78/commits/7a249b0566bfeafed791b7a6d1c49bbe6da826a0
2013-04-25T20:23:54Z,commit,IDEA-100125 (lock-free watch root setting),github.com/JetBrains/intellij-community/pull/78/commits/04eb90d09c321209e0b2d7310656388401626c19
2013-04-26T07:50:04Z,commit,better error diagnostics. Relates to IDEA-105726 (Compilation ends wi¡­,github.com/JetBrains/intellij-community/pull/78/commits/42bb3f78262acb0e8750d9fffea2777dad7db695
2013-04-16T18:43:05Z,commit,filtering content chooser for IDEA-104597,github.com/JetBrains/intellij-community/pull/78/commits/5445dae71c756b7d11b236c37464373159ab8778
2013-04-16T20:30:54Z,commit,filtering content chooser for IDEA-104597: model modification fix,github.com/JetBrains/intellij-community/pull/78/commits/93027e4e3ed8829e13c0278dc5540c8907e08884
2013-04-16T20:31:56Z,commit,switch to SearchField component,github.com/JetBrains/intellij-community/pull/78/commits/af043e60d2edf15154976ac34aff0fddaeb66dd7
2013-04-22T11:00:53Z,commit,InplaceRefactoring getVariable fix (by Greg),github.com/JetBrains/intellij-community/pull/78/commits/654536d056554bdfbace94ec1819eaa4736532c7
2013-04-25T08:35:20Z,commit,NPE on dispose,github.com/JetBrains/intellij-community/pull/78/commits/7ebf0b33b11cb6953fc9431623ed601fea86ad1a
2013-04-18T15:13:24Z,commit,fix double quick-doc loading in completion lookup,github.com/JetBrains/intellij-community/pull/78/commits/2f743114523318697c76b1eb618dbb09a2e4540d
