1002,PY-23615 add warning for shadowing system modules
2018-12-05T14:20:43Z,discuss,Issue: https://youtrack.jetbrains.com/issue/PY-23615
2018-12-05T14:20:43Z,discuss,"Add warning when user's modules shadow modules of standard libraries names.
For this:"
2018-11-30T09:36:16Z,commit,add python-stdlib-list to python/helpers,github.com/JetBrains/intellij-community/pull/1002/commits/317b39cd282c35a65deeb5abe8b68f797b98ebf4
2018-12-04T06:41:29Z,commit,add warning notification for std module shadowing,github.com/JetBrains/intellij-community/pull/1002/commits/22a181a50f43a4b8a3d20901468ae6bfe5263a47
