162,Added the action for change the Tabs placement to None.
2014-03-27T10:07:17Z,discuss,"
No description provided.
"
2014-05-23T10:42:46Z,discuss,"@bulenkov, should it be closed?"
2014-05-23T10:44:10Z,discuss,Could you merge it to 135th branch?
2014-03-27T10:04:08Z,commit,Added the action for change the Tabs placement to None.,github.com/JetBrains/intellij-community/pull/162/commits/4444dddf876cf279b64aa2c83a04a429e2117d6c
