1070,ExportableUserDataHolder: code reformat
2019-02-28T00:52:03Z,discuss,fix small code format miss.
2019-03-04T08:07:23Z,discuss,Applied manually. Thanks.
2019-02-28T00:46:35Z,commit,ExportableUserDataHolder: code reformat,github.com/JetBrains/intellij-community/pull/1070/commits/3da168901e42e24c485f9773c5e3b777a8409569
