41,IDEA-40104 Support Check/uncheck multiple items in Ant/Build file props/Filters
2013-03-06T13:21:47Z,discuss,"
No description provided.
"
2018-12-19T12:56:49Z,discuss,Please update the PR.
2018-12-19T12:57:34Z,discuss,Hello. I'm not interest in this PR anymore. Sorry
2013-03-06T13:06:48Z,commit,IDEA-40104 Support Check/uncheck multiple items in Ant/Build file pro¡­,github.com/JetBrains/intellij-community/pull/41/commits/eaa478a0b7b86638403b1bffb7e5f3ad8039dbda
