13,Updated Bundled TestNG version to 6.5.2
2012-08-01T13:32:08Z,commit,access for private members through type parameter bound is forbidden ¡­,github.com/JetBrains/intellij-community/pull/13/commits/03da4cdaa043ceee353efae6179b6a2424c866e5
2012-08-01T13:48:53Z,commit,check for conflicts with escalate visibility setting on (IDEA-88719),github.com/JetBrains/intellij-community/pull/13/commits/4cdf6d94de01609858795c9ab7f48252e2215bd0
2012-08-01T14:16:29Z,commit,revert conflict directions (IDEA-88688),github.com/JetBrains/intellij-community/pull/13/commits/a19d945e7f22900343f2b75275b068de2612ff06
2012-08-01T13:32:06Z,commit,IDEA-36202 Comment disappearing when joining lines,github.com/JetBrains/intellij-community/pull/13/commits/4490d0e6775ebe242e10a3f55f257459d9b493ff
2012-08-01T13:51:07Z,commit,extract FragmentCompletionTest,github.com/JetBrains/intellij-community/pull/13/commits/de8db3120af900203b984ef805535a79daea326d
2012-08-01T14:04:14Z,commit,IDEA-89585 Code Completion for class names in Run/Debug configuration¡­,github.com/JetBrains/intellij-community/pull/13/commits/d7f10da46144a8e24b63fb1429937bf2f0adc269
2012-08-01T15:53:16Z,commit,IDEA-85530 Override dialog should not match on the parameter names/cl¡­,github.com/JetBrains/intellij-community/pull/13/commits/77a018fbc7bbff1fe69b8ee8a5ceefb22b23b9d5
2012-08-01T16:19:38Z,commit,Fix instrumenter tests for JDK7,github.com/JetBrains/intellij-community/pull/13/commits/40d6c9242729ce647ecffd23579fe10c3fcafecf
2012-08-01T16:41:03Z,commit,"Broken toolbar shortcuts in ""Run/Debug Configurations""",github.com/JetBrains/intellij-community/pull/13/commits/9c56342078b733db0540c6672ab5da6525da98f6
2012-08-01T17:10:34Z,commit,Normalized VFS path should not contain duplicate separators,github.com/JetBrains/intellij-community/pull/13/commits/a60e6ed90ca5ad0f6ebf7819d0f125d317b3d0af
2012-08-01T17:57:31Z,commit,Switch off multiple declaration inspection,github.com/JetBrains/intellij-community/pull/13/commits/527a8eadee8c2597c306a40aae156ac55c5790c7
2012-08-01T17:56:07Z,commit,"XDebugger: compare value with clipboard action (IDEA-89243), finish '¡­",github.com/JetBrains/intellij-community/pull/13/commits/af10749df336a671ef3c06f16da6c83a326fb3c4
2012-08-01T18:13:36Z,commit,Do not keep case-duplicate FS roots,github.com/JetBrains/intellij-community/pull/13/commits/db7f868e916d6d6599d4c02067319dbfcadba9dc
2012-08-01T18:30:47Z,commit,xml attribute value has presentation with proper container text,github.com/JetBrains/intellij-community/pull/13/commits/fc4208a1b9822fa0cf994bbd7ada4aad3b69cf8f
2012-08-01T21:53:52Z,commit,NPE fix (when project is default),github.com/JetBrains/intellij-community/pull/13/commits/29efd1e6b8300dc2f7d72c19b28f59bcd83eba41
2012-08-01T21:54:59Z,commit,use default project when project == null,github.com/JetBrains/intellij-community/pull/13/commits/1838c30d6edd646819f6b6d40c5f36498d47a9d7
2012-08-01T21:57:44Z,commit,several fixes for nullable project,github.com/JetBrains/intellij-community/pull/13/commits/653b294c030d8c3cf5fed82fbb30bccc59052d4c
2012-08-02T03:27:55Z,commit,Merge branch 'master' of github.com:talios/intellij-community,github.com/JetBrains/intellij-community/pull/13/commits/b99ad51c9ca41938df4fbb299db077bea730240e
2012-08-02T03:29:13Z,commit,Updated testng version to 6.5.2,github.com/JetBrains/intellij-community/pull/13/commits/94c11ea7b777f97f99c915d44547565f6e7763bb
