250,Remove file based storage from project creation options (fixes first part of IDEA-137327)
2015-03-05T23:07:34Z,discuss,"Hi,"
2015-03-05T23:07:34Z,discuss,"As per ticket https://youtrack.jetbrains.com/issue/IDEA-137327, this removes the file based storage from new project creations."
2015-03-05T23:07:34Z,discuss,Thank you.
2015-03-06T09:19:37Z,discuss,Until IDEA-80673 is fixed it may be convenient to use file-based storage format if you have many small projects which project files aren't shared via VCS. So don't let's remove the option for now.
2015-03-05T23:02:46Z,commit,Remove file based storage from project creation options,github.com/JetBrains/intellij-community/pull/250/commits/ecf379b404c2801da805d8218668f334c2a3a637
