40,IDEA-79593 Ant target filters configuration: table is randomly sorted
2013-03-06T09:44:38Z,discuss,"
No description provided.
"
2013-03-06T10:40:56Z,discuss,Merged manually. Thanks!
2013-03-06T09:42:24Z,commit,IDEA-79593 Ant target filters configuration: table is randomly sorted,github.com/JetBrains/intellij-community/pull/40/commits/f10b141f522e668c0963b346a7bf8f836a374d9d
