1216,Update README.md
2019-10-18T17:53:07Z,discuss,Fixing of typos and mistakes in README.md using grammarly.com
2019-11-09T13:21:47Z,discuss,This incorrectly changes the meaning of the sentence. The before was correct.
2019-11-09T13:23:14Z,discuss,This change turns a correct sentence into an incorrect one.
2019-10-18T17:50:40Z,commit,Update README.md,github.com/JetBrains/intellij-community/pull/1216/commits/5af8d3a5d3a108dc17fc8b1f3b29347334dbe85e
