684,Ensure no protobuf string setters are set to null
2017-12-14T03:35:58Z,discuss,"
No description provided.
"
2017-12-14T03:36:11Z,discuss,@vladsoroka?
2017-12-14T05:09:46Z,discuss,Thank you! Merged using the following commit 5caca0e
2016-07-19T19:41:27Z,commit,Ensure no protobuf string setters are set to null,github.com/JetBrains/intellij-community/pull/684/commits/14929dc53eec0417ee0c8b1ffd9ba8238a6b3a89
