146,Activate Maven extensions during project resolution.
2014-01-28T00:38:44Z,discuss,"Load extensions so custom transports can be registered, and invoke
AbstractMavenLifecycleParticipant#afterSessionStart() and #afterProjectsRead()
so extensions have a chance to modify the project model."
2014-01-28T00:38:44Z,discuss,"Fixes IDEA-119940 Maven extensions not activated
http://youtrack.jetbrains.com/issue/IDEA-119940"
2014-01-29T00:16:03Z,discuss,"Here's the test extension source, also included in maven-extension-1.0-sources.jar:"
2014-01-30T00:12:34Z,discuss,Merged by @sevdokimov as 447fa05 and 217a6ba. Thank you!
2014-01-28T00:28:39Z,commit,Activate Maven extensions during project resolution.,github.com/JetBrains/intellij-community/pull/146/commits/345cb014dfb6be8749d3a99ea4dea65102a0a117
2014-01-28T23:17:09Z,commit,Make WorkspaceReader available to extensions.,github.com/JetBrains/intellij-community/pull/146/commits/de6b045e27fc56bda82de27119f76b20e075a585
