835,"Put ""Batik CleanerThread"" in alphabetical order"
2018-07-23T17:40:13Z,discuss,бн after it was added by commit b4df0c7.
2018-07-23T17:43:06Z,discuss,@forantar?
2018-07-24T11:51:48Z,discuss,"pushed, thanks"
2018-07-22T17:40:00Z,commit,"Put ""Batik CleanerThread"" in alphabetical order",github.com/JetBrains/intellij-community/pull/835/commits/503ab2a8cdeb164df51bc362a464b7907e4e671b
