1064,IDEA-207347 Allow a JTextComponent to avoid a swing undo manager.
2019-02-15T01:57:11Z,discuss,"The base class: UndoRedoAction calculates the undo manager based
on the class of the component. If the component is a JTextComponent
(that is not a main text editor) the undo manager will use the
Swing undo manager.
There are cases were this is unwanted."
2019-02-15T01:57:11Z,discuss,"This CL adds a ClientProperty on the JTextComponent such that the
Swing undo manager will not be used."
2019-02-15T01:57:11Z,discuss,Change-Id: I3e8d7a6681e51d30bc9f6052b3e74d7467fcca1c
2019-03-12T19:01:39Z,discuss,I created a new pull request for this bug with a different implementation.
2019-03-18T17:41:01Z,discuss,The patch was applied with minor improvements. Thank you!
2019-02-15T00:09:42Z,commit,IDEA-207347 Allow a JTextComponent to avoid a swing undo manager.,github.com/JetBrains/intellij-community/pull/1064/commits/91ccf9fb35dbe4dd37b3b2f693a2409e29a713b6
