625,Add elements into collection directly
2017-09-11T17:27:56Z,discuss,Direct adding of elements into collection by the means of ContainerUtil.addAll and new SmartList(T...) allows to reduce amount of garbage instances produced by Arrays.asList
2017-09-11T17:27:56Z,discuss,See https://youtrack.jetbrains.com/issue/IDEA-178648
2017-09-15T10:50:33Z,discuss,"Merged, thanks."
2017-09-11T15:34:11Z,commit,get rid of excess usage of Arrays.asList(T...),github.com/JetBrains/intellij-community/pull/625/commits/722cd826bd7c4dbc08f58a9f9583de8d69224edc
