402,Typo fix
2016-05-17T19:22:32Z,discuss,Small typo fix
2016-05-18T15:54:48Z,discuss,Merged manually. Thanks!
2016-05-17T19:22:17Z,commit,Typo fix,github.com/JetBrains/intellij-community/pull/402/commits/d75a0ac89376404e83663a5ed2d19e199ee180bd
