694,CONTRIBUTING: link to electronic submission of CLA
2017-12-21T11:45:32Z,discuss,This adds links CONTRIBUTING.md to https://www.jetbrains.com/agreements/cla/ for an electronic submission.
2018-01-02T17:27:26Z,discuss,Merged. Thank you!
2017-12-21T11:42:26Z,commit,CONTRIBUTING: link to electronic submission of CLA,github.com/JetBrains/intellij-community/pull/694/commits/c2e9ecbcf3bbb88d18f23e2624e246e20c7770fb
