406,Fix typo
2016-05-26T08:08:51Z,discuss,"
No description provided.
"
2016-06-02T19:23:00Z,discuss,"Hey @JetBrains/intellij-community, can you please look into this issue asap?"
2016-06-26T12:46:53Z,discuss,Merged. Thanks!
2016-05-26T08:08:36Z,commit,Fix typo,github.com/JetBrains/intellij-community/pull/406/commits/e4fb2263cad690cb2db72572c22c952e36535551
