489,Use existing jsr305 project-level library
2016-12-08T01:29:18Z,discuss,бн instead of module-library in gradle module. Also remove identical redundant jsr305-1.3.9.jar and associated library.
2016-12-08T01:30:00Z,discuss,@denis-zhdanov?
2016-12-08T01:23:44Z,commit,Use existing jsr305 project-level library,github.com/JetBrains/intellij-community/pull/489/commits/bf13e21b704645e562b724edb65137e6bcb56e98
