478,Remove duplicate boolean expression
2016-11-30T23:42:51Z,discuss,бн added by commit 80ef611.
2016-12-06T17:35:41Z,discuss,Merged manually. Thanks.
2016-11-30T23:40:46Z,commit,Remove duplicate boolean expression,github.com/JetBrains/intellij-community/pull/478/commits/70870065f8687540eed8c4381bbe07d020132b1a
