1139,IDEA-212623 Folding comments in Java out of FileHeader/Class blocks
2019-05-15T18:37:42Z,discuss,see https://youtrack.jetbrains.com/issue/IDEA-212623
2019-05-23T04:23:12Z,discuss,"Merged into master, thanks!"
2019-05-15T18:24:34Z,commit,IDEA-212623 Folding comments in Java out of FileHeader/Class blocks,github.com/JetBrains/intellij-community/pull/1139/commits/98daf5358705a3364fe93431a18a3c5bb2cf0bce
