769,"Fix typo in ""method return always constant"" inspection"
2018-03-24T14:39:18Z,discuss,"
No description provided.
"
2018-03-25T11:48:34Z,discuss,Merged. Thank you!
2018-03-24T13:52:41Z,commit,"Fix typo in ""method return always constant"" inspection",github.com/JetBrains/intellij-community/pull/769/commits/8b6ad22b67f7a7cfba7be6cf02ebe3b435d23f62
