700,Get rid of unnecessary array wrapping
2017-12-30T15:44:53Z,discuss,See https://youtrack.jetbrains.com/issue/IDEA-184240 for details
2018-01-05T10:33:35Z,discuss,"Applied, thanks."
2017-12-30T15:33:48Z,commit,get rid of unnecessary array wrapping,github.com/JetBrains/intellij-community/pull/700/commits/af49c43e71d2b28cfcb5eb91fb89be52f074b8c9
