385,mistake
2015-07-06T15:42:47Z,commit,Fixed dmg.json,github.com/JetBrains/intellij-community/pull/385/commits/3f45dd3c0062db469835748eae4f0d0dd0246d70
2015-07-06T15:43:20Z,commit,Fixed up getPlugins.sh,github.com/JetBrains/intellij-community/pull/385/commits/652f7587e61c78f46352ced44a346fd17e964b7f
2015-07-07T11:56:19Z,commit,Added update.xml,github.com/JetBrains/intellij-community/pull/385/commits/f26518c032ffb40f61b6d1088cac3c571197439f
2015-07-07T11:57:27Z,commit,Update URL,github.com/JetBrains/intellij-community/pull/385/commits/219a50a7cf9bca4ab617597ded2a75f961d136f8
2015-07-07T13:15:03Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/dbcf34ada5579541cd4aa63e74cde9b3322a5a56
2015-07-08T12:41:51Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/7241eae6bc88b5e5a393a07496d6f512356d5c02
2015-07-08T15:07:51Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/cf973b6e0a566682d4734a73671fd0d992abb5ee
2015-07-08T15:48:18Z,commit,"Fixed FrameWrapper, AvdListDialog would pass a null dimensionKey on c¡­",github.com/JetBrains/intellij-community/pull/385/commits/bba6a2817c2499325cea5557a014573ffbb18e74
2015-07-08T16:23:02Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/8a01906a7841d8389858d6f2be43b024f8e7fe1b
2015-08-05T18:46:19Z,commit,Fixed up plugins getter script to use a specific version of the andro¡­,github.com/JetBrains/intellij-community/pull/385/commits/125a384fec1f5adc350efb9facac4d57606c5549
2015-08-06T11:02:01Z,commit,Added -U so snapshots are resolved,github.com/JetBrains/intellij-community/pull/385/commits/3717e80b470fc4be21d383bf70c04bafe7f4055c
2015-08-06T11:43:41Z,commit,Updated update xml,github.com/JetBrains/intellij-community/pull/385/commits/05e6ab77ff31ed6336c404581cbd2c071b678797
2015-08-06T11:43:58Z,commit,Update update.xml,github.com/JetBrains/intellij-community/pull/385/commits/e6aca23397eaf81d202732bb0618bdc338c007ba
2015-08-06T11:46:38Z,commit,Update update.xml,github.com/JetBrains/intellij-community/pull/385/commits/d34f50bcef33319246a381041d7f89321c3e1427
2015-08-06T11:48:08Z,commit,Update update.xml,github.com/JetBrains/intellij-community/pull/385/commits/82fe2a25dbefea39950e10147a43117b416a320b
2015-09-03T07:07:10Z,commit,Updated update.xml for newest release,github.com/JetBrains/intellij-community/pull/385/commits/aadee894071ba9af4ddef89c2527048b1874d63b
2015-09-16T22:25:15Z,commit,1.8.0 release,github.com/JetBrains/intellij-community/pull/385/commits/6c5cb26b77a3eede40b6533807b54f8852e058b6
2015-10-20T23:25:39Z,commit,1.9.0 release,github.com/JetBrains/intellij-community/pull/385/commits/56e28936eb0f93f364f4a385245976d62a2554ec
2015-11-20T08:24:00Z,commit,RoboVM 1.11 release,github.com/JetBrains/intellij-community/pull/385/commits/ab72da61bd8f2b7bf35474bccd0a8d6cb23e230f
2015-12-17T09:13:37Z,commit,Updated update.xml to 1.12.0,github.com/JetBrains/intellij-community/pull/385/commits/2a36176211ed092e30cbf92c118a05c3c02df12b
2016-01-27T11:02:42Z,commit,Updated update.xml for 1.13.0 release,github.com/JetBrains/intellij-community/pull/385/commits/d8fa79062fffbf1368226f95a6ed3e8b43bf341e
2016-02-29T20:14:29Z,commit,Added version 1.14.0,github.com/JetBrains/intellij-community/pull/385/commits/2432b936eee8d4e07f95140bfec5c4b65c739f8f
2016-02-29T20:15:00Z,commit,Commented until official release,github.com/JetBrains/intellij-community/pull/385/commits/f1cdbb47ae88acf631ca22099c1e925e0458fff1
2016-03-01T07:58:39Z,commit,Added 1.14.0 to update.xml,github.com/JetBrains/intellij-community/pull/385/commits/462c81e2a6f9970cd20da2be8dd588a805503be1
