1170,Bump lodash.defaultsdeep from 4.6.0 to 4.6.1 in /platform/built-in-server/start-up-visualizer
2019-07-11T14:53:00Z,discuss,Bumps lodash.defaultsdeep from 4.6.0 to 4.6.1.
2019-07-11T14:53:00Z,discuss,
2019-07-11T14:53:00Z,discuss,Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.
2019-07-11T14:53:00Z,discuss,You can trigger Dependabot actions by commenting on this PR:
2019-07-11T16:01:58Z,discuss,"Looks like lodash.defaultsdeep is up-to-date now, so this is no longer needed."
2019-07-11T14:52:59Z,commit,Bump lodash.defaultsdeep,github.com/JetBrains/intellij-community/pull/1170/commits/d5aea7f524f0176c15cea0f6469aa607960b90b5
