1126,make getExecutable() generate a platform-specific filename
2019-04-20T09:34:37Z,discuss,"Hi there,"
2019-04-20T09:34:37Z,discuss,"I'm trying to get the PyCharm IDE running faster on a Jetson Nano (linux-aarch64). Compiling the fsnotifier source with the local GCC is straight-forward enough (integrating the change into the build process is not yet), however NativeFileWatcherImpl.getExecutable() will error out with unsupported platform if it's not one of the specifically encoded platforms. To make this a little more hackable, I have changed the code to give a platform-specific executable name to look for instead. This way, providing fsnotifier-aarch64 on the Jetson Nano should do the trick without further need to change the PyCharm package.
There is room for improvement for sure, like ensuring that you get to know the filename that is wanted, however this is a start."
2019-05-08T04:39:04Z,commit,ExplicitArrayFillingInspection: typo fixed (IDEA-CR-46500),github.com/JetBrains/intellij-community/pull/1126/commits/7d67321cddef542245011b6faee58802bde5e751
2019-05-06T18:44:33Z,commit,[file-history] add revision number to canShowFileHistory method,github.com/JetBrains/intellij-community/pull/1126/commits/68f7192845916b156307ed067d6ee439faaffbfd
2019-05-08T02:56:15Z,commit,[file-history] rename VcsLogFilHistoryProviderImpl to kotlin,github.com/JetBrains/intellij-community/pull/1126/commits/0ab0b3ed37c914d0f0d208aa102a2def9f4d1251
2019-05-08T02:56:16Z,commit,[file-history] convert VcsLogFilHistoryProviderImpl to kotlin,github.com/JetBrains/intellij-community/pull/1126/commits/2d5f2a0f4dc2eded2f136d311276476b128ed1f6
2019-05-08T04:23:02Z,commit,"[file-history] show submodule history as a file, not as a directory",github.com/JetBrains/intellij-community/pull/1126/commits/6dff9b8d911adc0ccab10091966ad905759b821e
2019-05-06T13:05:07Z,commit,IDEA-CR-46940: SSH: removed Registry option ssh.use.auth.agent,github.com/JetBrains/intellij-community/pull/1126/commits/00453cd8c0fcedbcd91244fb762d3cf2526654f9
2019-05-06T13:09:15Z,commit,IDEA-CR-46940: SSH: removed Registry option ide.ssh.one.time.password,github.com/JetBrains/intellij-community/pull/1126/commits/a33d0a80a9db32a66797d2c99bdf864978fb7c30
2019-05-08T05:43:24Z,commit,Build tw: issue reporting interfaces,github.com/JetBrains/intellij-community/pull/1126/commits/25e5fc0a83c5e5e7e957f3d2cd11c35a4675a6d7
2019-05-08T05:58:59Z,commit,Gradle: error handling refactoring,github.com/JetBrains/intellij-community/pull/1126/commits/ffb90da53766d15ef03caec91ec067666f4681b8
2019-05-08T06:02:59Z,commit,Expose Gradle JVM setting for settings search,github.com/JetBrains/intellij-community/pull/1126/commits/c0caaf41ee5254405fbe264a1ea47d1c334871d3
2019-05-08T06:06:58Z,commit,Gradle: quick fixes for Gradle compatibility issues with JDK IDEA-212028,github.com/JetBrains/intellij-community/pull/1126/commits/2f4a975a79235f590620653e3187799e1654faa1
2019-05-08T06:22:22Z,commit,Gradle: fix duplicating messages,github.com/JetBrains/intellij-community/pull/1126/commits/6ee3769109d84fe2ec8f0f6aaa71f93b154a20d2
2019-05-08T07:23:35Z,commit,ReplaceWithMutableCollectionIntention: fixed replace for Map.ofEntrie¡­,github.com/JetBrains/intellij-community/pull/1126/commits/4dc362f3abf7058e37ab85f49be75f546eb6b3aa
2019-05-08T06:57:25Z,commit,XmlSerializer - extract common part (not related to XML) to package `¡­,github.com/JetBrains/intellij-community/pull/1126/commits/8a461291f1536f03dfc8149fabfcfe6c16075556
2019-05-06T10:37:31Z,commit,inference: cleanup,github.com/JetBrains/intellij-community/pull/1126/commits/83d6344ff5962744abcca816be7471bee9a20a72
2019-05-07T08:57:00Z,commit,inference: get rid of current method thread local (I),github.com/JetBrains/intellij-community/pull/1126/commits/294cb04ff2e4d6a247909a3435a33f5ed38513f2
2019-05-08T07:38:29Z,commit,use mock jdk instead of java.home in tests to run on java 11 and use ¡­,github.com/JetBrains/intellij-community/pull/1126/commits/d7dade352d2265b71ed78ce6cfde6e404b97d05b
2019-05-08T08:01:45Z,commit,OC-18634 Fix SourceKit crash on Ubuntu,github.com/JetBrains/intellij-community/pull/1126/commits/12552bc4d4e2ad5be54e94d2079cb87fdf46482b
2019-05-08T08:18:56Z,commit,"vcs: rename ""Local Changes Toolbar"" to ""VCS Local Changes Toolbar"" to¡­",github.com/JetBrains/intellij-community/pull/1126/commits/77b968c5721b5ed6465746fb11e98d5c13a4f652
2019-05-08T05:28:24Z,commit,IDEA-209947 Simple non-trivial contract support,github.com/JetBrains/intellij-community/pull/1126/commits/a19ec3f60c93c0f93431b5d48d843e49a607d735
2019-05-08T06:32:49Z,commit,IDEA-209947 Better contract support; special field equality support,github.com/JetBrains/intellij-community/pull/1126/commits/76b64842153384012b584ea45fed1e2811647ed3
2019-05-08T07:53:44Z,commit,"IDEA-209947 CollectionSizeEquality test, better merge, better present¡­",github.com/JetBrains/intellij-community/pull/1126/commits/fb79b6d617c66e621528d11bdf64061728e51be0
2019-05-08T08:33:15Z,commit,IDEA-209947 Explanation for always failing call,github.com/JetBrains/intellij-community/pull/1126/commits/4fb16241d89aac136cc23850319394381dae0e96
2019-05-08T09:27:27Z,commit,IDEA-209947 Better explanation for type constraint; see through assig¡­,github.com/JetBrains/intellij-community/pull/1126/commits/c725078989b7e32506eafa3c3cdd14d89414990e
2019-05-07T17:49:20Z,commit,"PY-30214 ""Invert Boolean"" refactoring is uniformly available in Python 2",github.com/JetBrains/intellij-community/pull/1126/commits/ad4055421976117552825ccae2c925f813298804
2019-05-07T16:56:41Z,commit,"PY-30214 Update tests to check that ""Invert Boolean"" is actually enab¡­",github.com/JetBrains/intellij-community/pull/1126/commits/ae4677df7e9a2e49a85695ad836190b865cac3c2
2019-05-07T15:01:22Z,commit,[devkit] extract Extension.isClassField,github.com/JetBrains/intellij-community/pull/1126/commits/19be91d82eafdd7ba7a83e3abd86b2a45e954569
2019-05-08T09:59:28Z,commit,Cleanup (assertion text),github.com/JetBrains/intellij-community/pull/1126/commits/aa4a878fc21291e07c502d66f68d41a664918a44
2019-05-08T10:05:54Z,commit,Cleanup (formatting),github.com/JetBrains/intellij-community/pull/1126/commits/b4490a3036a01f84c62c8e5590dc98f8ea9d60a5
2019-05-06T11:53:22Z,commit,"IDEA-209644 - improve maven sync, introducing maven listener",github.com/JetBrains/intellij-community/pull/1126/commits/e09bcca2f4b13f512838116c1d1b6a1c32634480
2019-05-06T14:49:08Z,commit,IDEA-207382 - maven sync tool window - smoke test for maven event,github.com/JetBrains/intellij-community/pull/1126/commits/4482b4ff8e85ee26435e844c8e72408232d02d7f
2019-05-08T09:22:21Z,commit,IDEA-207382 - maven sync tool window,github.com/JetBrains/intellij-community/pull/1126/commits/0404f1c5c05d6b9e5aca7a76f1b5372b85839b3d
2019-05-08T10:23:49Z,commit,IDEA-207382 - maven sync tool window - review fix,github.com/JetBrains/intellij-community/pull/1126/commits/2bdf42a0990d378f8f1647875a241f1b882720e8
