1054,"IDEA-206928: Show ""plugin.xml (pluginName)"" tab title irrespective of project type"
2019-02-08T10:15:41Z,discuss,Implements https://youtrack.jetbrains.net/issue/IDEA-206928
2019-02-12T15:02:28Z,discuss,Thanks!
2019-02-08T10:05:32Z,commit,"IDEA-206928: Show ""plugin.xml (pluginName)"" tab title irrespective of¡­",github.com/JetBrains/intellij-community/pull/1054/commits/e4cf26be91ed43e32a8a2c97d817dbf69130bc6e
